,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
0,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0 ; 0,2.0217330995947123
1,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0 ; 0,0.050984867848455906
2,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0 ; 0,0.013211483415216208
3,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0 ; 0.5,2.019778387621045
4,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0 ; 0.5,0.05100037716329098
5,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0 ; 0.5,0.013213407713919878
6,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0 ; 0.9,2.021327303722501
7,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0 ; 0.9,0.05098101124167442
8,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0 ; 0.9,0.013211013749241829
9,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0 ; 0.99,2.0204812698066235
10,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0 ; 0.99,0.05098931770771742
11,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0 ; 0.99,0.013212463352829218
12,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0.5 ; 0,2.0205779187381268
13,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0.5 ; 0,0.05098551884293556
14,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0.5 ; 0,0.01326772952452302
15,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0.5 ; 0.5,2.019541883841157
16,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0.5 ; 0.5,0.05098333582282066
17,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0.5 ; 0.5,0.013266491889953613
18,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0.5 ; 0.9,2.019614005461335
19,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0.5 ; 0.9,0.050989228300750256
20,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0 ; 0.5 ; 0.9,0.013269573822617531
21,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0 ; 0.5 ; 0.99,2.0194380655884743
22,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0 ; 0.5 ; 0.99,0.051007007248699665
