,"Input dims, index dim",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1; 0,"(1024,)",0.0,4.2961008148267865e-05
1,2; 0,"(512, 512)",0.0,4.624700522981584e-05
2,2; 1,"(512, 512)",0.0,4.22200100729242e-05
3,3; 0,"(256, 256, 256)",0.0,0.001041409996105358
4,3; 1,"(256, 256, 256)",0.0,0.00029881499358452857
5,3; 2,"(256, 256, 256)",0.0,0.00024656699679326266
6,1; 0,"(1024,)",0.5,4.14079986512661e-05
7,2; 0,"(512, 512)",0.5,4.234899824950844e-05
8,2; 1,"(512, 512)",0.5,4.125799750909209e-05
9,3; 0,"(256, 256, 256)",0.5,0.0010406990040792152
10,3; 1,"(256, 256, 256)",0.5,0.000299316001473926
11,3; 2,"(256, 256, 256)",0.5,0.0002553329977672547
12,1; 0,"(1024,)",0.9,3.9453996578231454e-05
13,2; 0,"(512, 512)",0.9,4.213998909108341e-05
14,2; 1,"(512, 512)",0.9,4.0345999877899885e-05
15,3; 0,"(256, 256, 256)",0.9,0.0010421520128147677
16,3; 1,"(256, 256, 256)",0.9,0.00030306300322990865
17,3; 2,"(256, 256, 256)",0.9,0.0002462150005158037
18,1; 0,"(1024,)",0.99,3.974599530920386e-05
19,2; 0,"(512, 512)",0.99,4.3181993532925844e-05
20,2; 1,"(512, 512)",0.99,4.081698716618121e-05
21,3; 0,"(256, 256, 256)",0.99,0.0010370620002504438
22,3; 1,"(256, 256, 256)",0.99,0.00030089900246821344
23,3; 2,"(256, 256, 256)",0.99,0.0002464560093358159
