,"Input dims, index dim, reduce factor (RF)",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1; 0; 1,"(2560614400,)",0.0,0.2276693768799305
1,1; 0; 2,"(2560614400,)",0.0,0.11396180372685194
2,1; 0; 4,"(2560614400,)",0.0,0.058980981819331646
3,1; 0; 8,"(2560614400,)",0.0,0.029529951512813568
4,2; 0; 1,"(66000, 66000)",0.0,0.09075634554028511
5,2; 0; 2,"(66000, 66000)",0.0,0.044999468326568606
6,2; 0; 4,"(66000, 66000)",0.0,0.022454170882701872
7,2; 0; 8,"(66000, 66000)",0.0,0.01124888751655817
8,2; 1; 1,"(66000, 66000)",0.0,0.9663915373384953
9,2; 1; 2,"(66000, 66000)",0.0,0.47033026069402695
10,2; 1; 4,"(66000, 66000)",0.0,0.21867273561656475
11,2; 1; 8,"(66000, 66000)",0.0,0.10135973617434502
12,3; 0; 1,"(1640, 1640, 1640)",0.0,0.08848658949136734
13,3; 0; 2,"(1640, 1640, 1640)",0.0,0.043837761878967284
14,3; 0; 4,"(1640, 1640, 1640)",0.0,0.021928827092051507
15,3; 0; 8,"(1640, 1640, 1640)",0.0,0.011011099442839622
16,3; 1; 1,"(1640, 1640, 1640)",0.0,0.1224253075197339
17,3; 1; 2,"(1640, 1640, 1640)",0.0,0.06089893635362387
18,3; 1; 4,"(1640, 1640, 1640)",0.0,0.03043498694896698
19,3; 1; 8,"(1640, 1640, 1640)",0.0,0.015262369997799397
20,3; 2; 1,"(1640, 1640, 1640)",0.0,0.9965934958308935
21,3; 2; 2,"(1640, 1640, 1640)",0.0,0.49417830258607864
22,3; 2; 4,"(1640, 1640, 1640)",0.0,0.24445602111518383
23,3; 2; 8,"(1640, 1640, 1640)",0.0,0.1252849381417036
24,1; 0; 1,"(2560614400,)",0.5,0.22775651887059212
25,1; 0; 2,"(2560614400,)",0.5,0.11382589675486088
26,1; 0; 4,"(2560614400,)",0.5,0.05692105870693922
27,1; 0; 8,"(2560614400,)",0.5,0.02845426294952631
28,2; 0; 1,"(66000, 66000)",0.5,0.09075905568897724
29,2; 0; 2,"(66000, 66000)",0.5,0.04502891171723604
30,2; 0; 4,"(66000, 66000)",0.5,0.022486627288162708
31,2; 0; 8,"(66000, 66000)",0.5,0.011186463478952646
32,2; 1; 1,"(66000, 66000)",0.5,0.9672196265310049
33,2; 1; 2,"(66000, 66000)",0.5,0.4709440879523754
34,2; 1; 4,"(66000, 66000)",0.5,0.2195057813078165
35,2; 1; 8,"(66000, 66000)",0.5,0.10123902000486851
36,3; 0; 1,"(1640, 1640, 1640)",0.5,0.08850647322833538
37,3; 0; 2,"(1640, 1640, 1640)",0.5,0.04382023122161627
38,3; 0; 4,"(1640, 1640, 1640)",0.5,0.021924672089517115
39,3; 0; 8,"(1640, 1640, 1640)",0.5,0.010972113441675903
40,3; 1; 1,"(1640, 1640, 1640)",0.5,0.12242763955146074
41,3; 1; 2,"(1640, 1640, 1640)",0.5,0.06085923034697771
42,3; 1; 4,"(1640, 1640, 1640)",0.5,0.030435774102807046
43,3; 1; 8,"(1640, 1640, 1640)",0.5,0.015224058832973241
44,3; 2; 1,"(1640, 1640, 1640)",0.5,0.9972421750426292
45,3; 2; 2,"(1640, 1640, 1640)",0.5,0.49273936450481415
46,3; 2; 4,"(1640, 1640, 1640)",0.5,0.2449930440634489
47,3; 2; 8,"(1640, 1640, 1640)",0.5,0.122176350094378
48,1; 0; 1,"(2560614400,)",0.9,0.22766641899943352
49,1; 0; 2,"(2560614400,)",0.9,0.11392216198146343
50,1; 0; 4,"(2560614400,)",0.9,0.05704574193805456
51,1; 0; 8,"(2560614400,)",0.9,0.028491854667663574
52,2; 0; 1,"(66000, 66000)",0.9,0.0908119436353445
53,2; 0; 2,"(66000, 66000)",0.9,0.045094534382224084
54,2; 0; 4,"(66000, 66000)",0.9,0.022461853362619875
55,2; 0; 8,"(66000, 66000)",0.9,0.011199552845209838
56,2; 1; 1,"(66000, 66000)",0.9,0.9649832751601934
57,2; 1; 2,"(66000, 66000)",0.9,0.4702462162822485
58,2; 1; 4,"(66000, 66000)",0.9,0.2191423736512661
59,2; 1; 8,"(66000, 66000)",0.9,0.10081049147993326
60,3; 0; 1,"(1640, 1640, 1640)",0.9,0.08849251456558704
61,3; 0; 2,"(1640, 1640, 1640)",0.9,0.04382889624685049
62,3; 0; 4,"(1640, 1640, 1640)",0.9,0.02191874887794256
63,3; 0; 8,"(1640, 1640, 1640)",0.9,0.010973090678453446
64,3; 1; 1,"(1640, 1640, 1640)",0.9,0.12245635967701674
65,3; 1; 2,"(1640, 1640, 1640)",0.9,0.060857598669826984
66,3; 1; 4,"(1640, 1640, 1640)",0.9,0.030442842468619346
67,3; 1; 8,"(1640, 1640, 1640)",0.9,0.015222375374287368
68,3; 2; 1,"(1640, 1640, 1640)",0.9,0.9984417054802179
69,3; 2; 2,"(1640, 1640, 1640)",0.9,0.4922359101474285
70,3; 2; 4,"(1640, 1640, 1640)",0.9,0.24463951215147972
71,3; 2; 8,"(1640, 1640, 1640)",0.9,0.12215517554432154
72,1; 0; 1,"(2560614400,)",0.99,0.22761045210063457
73,1; 0; 2,"(2560614400,)",0.99,0.11394778452813625
74,1; 0; 4,"(2560614400,)",0.99,0.05690213795751333
75,1; 0; 8,"(2560614400,)",0.99,0.028478465415537356
76,2; 0; 1,"(66000, 66000)",0.99,0.09057814069092274
77,2; 0; 2,"(66000, 66000)",0.99,0.045026587694883345
78,2; 0; 4,"(66000, 66000)",0.99,0.022468641772866248
79,2; 0; 8,"(66000, 66000)",0.99,0.011181297060102225
80,2; 1; 1,"(66000, 66000)",0.99,0.9655511863529682
81,2; 1; 2,"(66000, 66000)",0.99,0.4725701753050089
82,2; 1; 4,"(66000, 66000)",0.99,0.2178039588034153
83,2; 1; 8,"(66000, 66000)",0.99,0.1012599328532815
