,"Reduce factor, shape",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1 LS,"(2400576000,)",0.0,0.535 (0.522)
1,1 square,"(48000, 48000)",0.0,0.079 (0.066)
2,1 LS,"(2400576000,)",0.5,0.535 (0.522)
3,1 square,"(48000, 48000)",0.5,0.079 (0.066)
4,1 LS,"(2400576000,)",0.9,0.535 (0.522)
5,1 square,"(48000, 48000)",0.9,0.079 (0.066)
6,1 LS,"(2400576000,)",0.99,0.535 (0.522)
7,1 square,"(48000, 48000)",0.99,0.079 (0.066)
8,2 LS,"(2400576000,)",0.0,0.529 (0.521)
9,2 square,"(48000, 48000)",0.0,0.069 (0.066)
10,2 LS,"(2400576000,)",0.5,0.529 (0.521)
11,2 square,"(48000, 48000)",0.5,0.069 (0.066)
12,2 LS,"(2400576000,)",0.9,0.529 (0.521)
13,2 square,"(48000, 48000)",0.9,0.069 (0.066)
14,2 LS,"(2400576000,)",0.99,0.529 (0.521)
15,2 square,"(48000, 48000)",0.99,0.069 (0.066)
16,4 LS,"(2400576000,)",0.0,0.525 (0.518)
17,4 square,"(48000, 48000)",0.0,0.065 (0.072)
18,4 LS,"(2400576000,)",0.5,0.525 (0.518)
19,4 square,"(48000, 48000)",0.5,0.065 (0.072)
20,4 LS,"(2400576000,)",0.9,0.525 (0.518)
21,4 square,"(48000, 48000)",0.9,0.065 (0.072)
22,4 LS,"(2400576000,)",0.99,0.525 (0.518)
23,4 square,"(48000, 48000)",0.99,0.065 (0.072)
24,8 LS,"(2400576000,)",0.0,0.519 (0.514)
25,8 square,"(48000, 48000)",0.0,0.069 (0.078)
26,8 LS,"(2400576000,)",0.5,0.519 (0.514)
27,8 square,"(48000, 48000)",0.5,0.069 (0.078)
28,8 LS,"(2400576000,)",0.9,0.519 (0.514)
29,8 square,"(48000, 48000)",0.9,0.069 (0.078)
30,8 LS,"(2400576000,)",0.99,0.519 (0.514)
31,8 square,"(48000, 48000)",0.99,0.069 (0.078)
