,"Reduce factor, shape",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1 LS,"(1472353280,)",0.0,0.603
1,1 square,"(38000, 38000)",0.0,0.282
2,1 LS,"(1472353280,)",0.5,0.632
3,1 square,"(38000, 38000)",0.5,0.287
4,1 LS,"(1472353280,)",0.9,0.669
5,1 square,"(38000, 38000)",0.9,0.295
6,1 LS,"(1472353280,)",0.99,0.688
7,1 square,"(38000, 38000)",0.99,0.301
8,2 LS,"(1472353280,)",0.0,0.547
9,2 square,"(38000, 38000)",0.0,0.327
10,2 LS,"(1472353280,)",0.5,0.586
11,2 square,"(38000, 38000)",0.5,0.332
12,2 LS,"(1472353280,)",0.9,0.65
13,2 square,"(38000, 38000)",0.9,0.346
14,2 LS,"(1472353280,)",0.99,0.665
15,2 square,"(38000, 38000)",0.99,0.353
16,4 LS,"(1472353280,)",0.0,0.5
17,4 square,"(38000, 38000)",0.0,0.452
18,4 LS,"(1472353280,)",0.5,0.556
19,4 square,"(38000, 38000)",0.5,0.453
20,4 LS,"(1472353280,)",0.9,0.635
21,4 square,"(38000, 38000)",0.9,0.463
22,4 LS,"(1472353280,)",0.99,0.655
23,4 square,"(38000, 38000)",0.99,0.477
24,8 LS,"(1472353280,)",0.0,0.469
25,8 square,"(38000, 38000)",0.0,0.679
26,8 LS,"(1472353280,)",0.5,0.539
27,8 square,"(38000, 38000)",0.5,0.654
28,8 LS,"(1472353280,)",0.9,0.623
29,8 square,"(38000, 38000)",0.9,0.64
30,8 LS,"(1472353280,)",0.99,0.644
31,8 square,"(38000, 38000)",0.99,0.648
