,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
0,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0 ; 0,0.010185826569795609
1,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0 ; 0,0.0008442692272365094
2,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0 ; 0,0.0003452861662954092
3,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0 ; 0.5,0.008548849448561668
4,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0 ; 0.5,0.0008442060090601445
5,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0 ; 0.5,0.0003436913881450892
6,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0 ; 0.9,0.008236136846244335
7,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0 ; 0.9,0.0008441957645118237
8,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0 ; 0.9,0.00034139232337474824
9,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0 ; 0.99,0.008104617521166802
10,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0 ; 0.99,0.0008441672287881375
11,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0 ; 0.99,0.00034690495766699316
12,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.5 ; 0,0.008524783700704575
13,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.5 ; 0,0.0008441480062901974
14,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.5 ; 0,0.0003443699050694704
15,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.5 ; 0.5,0.008455408178269863
16,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.5 ; 0.5,0.0008441341854631901
17,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.5 ; 0.5,0.00034628860652446747
18,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.5 ; 0.9,0.008104301057755947
19,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.5 ; 0.9,0.0008438636921346188
20,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.5 ; 0.9,0.0003434485010802746
21,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.5 ; 0.99,0.008022341877222061
22,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.5 ; 0.99,0.0008434808440506459
23,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.5 ; 0.99,0.00036334176175296305
24,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.9 ; 0,0.008193394541740418
25,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.9 ; 0,0.0008448562212288379
26,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.9 ; 0,0.0003456858079880476
27,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.9 ; 0.5,0.008165865391492843
28,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.9 ; 0.5,0.0008442454785108567
29,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.9 ; 0.5,0.0003440119829028845
30,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.9 ; 0.9,0.008017758093774318
31,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.9 ; 0.9,0.0008437872119247913
32,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.9 ; 0.9,0.0003461659848690033
33,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.9 ; 0.99,0.008012163080275058
34,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.9 ; 0.99,0.0008437738940119743
35,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.9 ; 0.99,0.0003435511533170939
36,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.99 ; 0,0.008141540363430977
37,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.99 ; 0,0.0008439162559807301
38,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.99 ; 0,0.0003634420726448298
39,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.99 ; 0.5,0.00808061771094799
40,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.99 ; 0.5,0.0008446449413895607
41,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.99 ; 0.5,0.0003461637683212757
42,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.99 ; 0.9,0.008015546016395092
43,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.99 ; 0.9,0.0008443336375057697
44,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.99 ; 0.9,0.0003439631797373295
45,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0 ; 0.99 ; 0.99,0.008012506179511547
46,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0 ; 0.99 ; 0.99,0.0008440709486603737
47,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0 ; 0.99 ; 0.99,0.00034152696654200554
48,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0 ; 0,0.008723045513033868
49,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0 ; 0,0.0008443243242800235
50,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0 ; 0,0.0003642769046127796
51,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0 ; 0.5,0.008534524403512479
52,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0 ; 0.5,0.0008444974385201931
53,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0 ; 0.5,0.00034167638793587685
54,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0 ; 0.9,0.008263684809207916
55,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0 ; 0.9,0.0008440078236162663
56,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0 ; 0.9,0.00034182065352797507
57,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0 ; 0.99,0.008165388368070126
58,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0 ; 0.99,0.0008437830768525601
59,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0 ; 0.99,0.0003472878262400627
60,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.5 ; 0,0.00848398096859455
61,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.5 ; 0,0.0008444795198738575
62,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.5 ; 0,0.0003445153087377548
63,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.5 ; 0.5,0.008479960262775421
64,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.5 ; 0.5 ; 0.5,0.0008437847904860974
65,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.5 ; 0.5 ; 0.5,0.0003463956844061613
66,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.5 ; 0.5 ; 0.9,0.008137800544500352
