,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
0,2; 0; 1,"(2738, 2738)",0,7499382,15.015192,69.206016,0.00035837226081639526(0.0),0.000360127380117774(0.0)
1,2; 1; 1,"(2738, 2738)",0,7499382,15.015192,69.206016,0.0007815041206777096(0.0),0.0007814066391438246(0.0)
2,2; 0; 1,"(3073, 3073)",0,9446402,18.911242,102.760448,0.00047143637901172044(0.0),0.0004716111999005079(0.0)
3,2; 1; 1,"(3073, 3073)",0,9446402,18.911242,85.983232,0.0009920011297799647(0.0),0.0009924565884284675(0.0)
4,2; 0; 1,"(3374, 3374)",0,11387250,22.794744,115.34336,0.0005560760083608329(0.0),0.0005558113218285144(0.0)
5,2; 1; 1,"(3374, 3374)",0,11387250,22.794744,94.37184,0.001136501010041684(0.0),0.00113652948057279(0.0)
6,2; 0; 1,"(3651, 3651)",0,13333452,26.68881,134.217728,0.000664397890213877(0.0),0.000664718181360513(0.0)
7,2; 1; 1,"(3651, 3651)",0,13333452,26.68881,111.149056,0.0013147832988761364(0.0),0.0013142708293162287(0.0)
8,2; 0; 1,"(3908, 3908)",0,15276372,30.576192,268.435456,0.000736661241389811(0.0),0.000736617271322757(0.0)
9,2; 1; 1,"(3908, 3908)",0,15276372,30.576192,127.926272,0.0014713488798588515(0.0),0.0014717708807438612(0.0)
10,2; 0; 1,"(4149, 4149)",0,17218350,34.461594,176.160768,0.0008334979298524559(0.0),0.0008331050886772573(0.0)
11,2; 1; 1,"(4149, 4149)",0,17218350,34.461594,144.703488,0.0017069053393788637(0.0),0.0017057325108908116(0.0)
12,2; 0; 1,"(4377, 4377)",0,19162506,38.351274,197.132288,0.0009211637801490724(0.0),0.000921397830825299(0.0)
13,2; 1; 1,"(4377, 4377)",0,19162506,38.351274,161.480704,0.001826119681354612(0.0),0.0018288508406840264(0.0)
14,2; 0; 1,"(4594, 4594)",0,21109430,42.246424,218.103808,0.0009999682195484638(0.0),0.0009998106211423874(0.0)
15,2; 1; 1,"(4594, 4594)",0,21109430,42.246424,178.25792,0.0019679880002513527(0.0),0.001969416218344122(0.0)
16,2; 0; 1,"(4801, 4801)",0,23054402,46.13761,230.68672,0.0011075109289959072(0.0),0.0011076521989889442(0.0)
17,2; 1; 1,"(4801, 4801)",0,23054402,46.13761,186.646528,0.0021829457790590824(0.0),0.0021804843400605022(0.0)
18,2; 0; 1,"(5000, 5000)",0,25005000,50.04,362.807296,0.0011677288520149888(0.0),0.0011679538991302251(0.0)
19,2; 1; 1,"(5000, 5000)",0,25005000,50.04,203.423744,0.0023019323288463057(0.0),0.002301692869514227(0.0)
20,2; 0; 1,"(5190, 5190)",0,26941290,53.91372,270.532608,0.0012722252099774778(0.0),0.0012726160511374474(0.0)
21,2; 1; 1,"(5190, 5190)",0,26941290,53.91372,220.20096,0.002452108170837164(0.0),0.002451806499157101(0.0)
22,2; 0; 1,"(5374, 5374)",0,28885250,57.802744,291.504128,0.0013595934212207795(0.0),0.0013597876904532314(0.0)
23,2; 1; 1,"(5374, 5374)",0,28885250,57.802744,236.978176,0.0026566945598460734(0.0),0.0026548522990196945(0.0)
24,2; 0; 1,"(5552, 5552)",0,30830256,61.693824,427.819008,0.0014077331591397524(0.0),0.0014079117006622255(0.0)
25,2; 1; 1,"(5552, 5552)",0,30830256,61.693824,253.755392,0.0027867258503101767(0.0),0.0027848000498488547(0.0)
26,2; 0; 1,"(5725, 5725)",0,32781350,65.59705,333.447168,0.0015385493403300642(0.0),0.0015389282605610787(0.0)
