,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
0,2; 0; 1,"(2738, 2738)",0,7499382,15.015192,35.651584,0.00011826720787212252(0.0),0.00011831401148810983(0.0)
1,2; 0; 2,"(2738, 2738)",0,7498013,15.00424,39.845888,6.518468027934432e-05(0.0),6.519580027088523e-05(0.0)
2,2; 0; 4,"(2738, 2738)",0,7497328,14.99876,39.845888,4.1373639833182095e-05(0.0),4.135960945859552e-05(0.0)
3,2; 0; 8,"(2738, 2738)",0,7496986,14.996024,39.845888,2.8883658815175294e-05(0.0),2.8760721907019615e-05(0.0)
4,2; 1; 1,"(2738, 2738)",0,7499382,15.015192,35.651584,0.0001290526706725359(0.0),0.0001289546792395413(0.0)
5,2; 1; 2,"(2738, 2738)",0,7498013,15.00424,39.845888,6.731371860951185e-05(0.0),6.727805128321052e-05(0.0)
6,2; 1; 4,"(2738, 2738)",0,7497328,14.99876,39.845888,4.1288980282843115e-05(0.0),4.1176360100507735e-05(0.0)
7,2; 1; 8,"(2738, 2738)",0,7496986,14.996024,39.845888,2.9082638211548327e-05(0.0),2.9104379937052727e-05(0.0)
8,2; 0; 1,"(3073, 3073)",0,9446402,18.911242,44.040192,0.00015926002990454435(0.0),0.00015932645881548525(0.0)
9,2; 0; 2,"(3073, 3073)",0,9444865,18.898946,44.040192,7.878104923292995e-05(0.0),7.731587858870625e-05(0.0)
10,2; 0; 4,"(3073, 3073)",0,9444097,18.892802,44.040192,6.919678067788481e-05(0.0),4.923304077237844e-05(0.0)
11,2; 0; 8,"(3073, 3073)",0,9443713,18.88973,44.040192,3.187251975759864e-05(0.0),3.1818619463592766e-05(0.0)
12,2; 1; 1,"(3073, 3073)",0,9446402,18.911242,44.040192,0.00016662921058014035(0.0),0.00016655587125569582(0.0)
13,2; 1; 2,"(3073, 3073)",0,9444865,18.898946,44.040192,8.13644495792687e-05(0.0),8.13665590249002e-05(0.0)
14,2; 1; 4,"(3073, 3073)",0,9444097,18.892802,44.040192,4.952698945999145e-05(0.0),4.9370399210602045e-05(0.0)
