,Input dims,Input size,"Sparsities (input, matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,3,"[(1581, 1581), (1581, 1581), (1581, 1581)]",0 ; 0 ; 0,7498683,14.997366,20.97152,0.00018692182027734816(0.0)
1,3,"[(1774, 1774), (1774, 1774), (1774, 1774)]",0 ; 0 ; 0,9441228,18.882456,41.94304,0.00016187179018743337(0.0)
2,3,"[(1948, 1948), (1948, 1948), (1948, 1948)]",0 ; 0 ; 0,11384112,22.768224,41.94304,0.00026930250925943255(0.0)
3,3,"[(2108, 2108), (2108, 2108), (2108, 2108)]",0 ; 0 ; 0,13330992,26.661984,41.94304,0.0002882670902181417(0.0)
4,3,"[(2256, 2256), (2256, 2256), (2256, 2256)]",0 ; 0 ; 0,15268608,30.537216,41.94304,0.00014673468074761332(0.0)
5,3,"[(2395, 2395), (2395, 2395), (2395, 2395)]",0 ; 0 ; 0,17208075,34.41615,50.331648,0.0005298355792183429(0.0)
6,3,"[(2527, 2527), (2527, 2527), (2527, 2527)]",0 ; 0 ; 0,19157187,38.314374,58.720256,0.0004851738503202796(0.0)
7,3,"[(2652, 2652), (2652, 2652), (2652, 2652)]",0 ; 0 ; 0,21099312,42.198624,58.720256,0.0003974213695619255(0.0)
8,3,"[(2772, 2772), (2772, 2772), (2772, 2772)]",0 ; 0 ; 0,23051952,46.103904,67.108864,0.0004496851307339966(0.0)
9,3,"[(2886, 2886), (2886, 2886), (2886, 2886)]",0 ; 0 ; 0,24986988,49.973976,67.108864,0.0004735290608368814(0.0)
10,3,"[(2996, 2996), (2996, 2996), (2996, 2996)]",0 ; 0 ; 0,26928048,53.856096,75.497472,0.000480853560147807(0.0)
11,3,"[(3103, 3103), (3103, 3103), (3103, 3103)]",0 ; 0 ; 0,28885827,57.771654,83.88608,0.0009229225304443389(0.0)
12,3,"[(3205, 3205), (3205, 3205), (3205, 3205)]",0 ; 0 ; 0,30816075,61.63215,83.88608,0.0010285589389968663(0.0)
