,Input dims,Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2; 0,"(1224, 1224)",0,2996352,14.98176,20.97152,2.82816996332258e-05(0.0)
1,2; 1,"(1224, 1224)",0,2996352,14.98176,20.97152,1.3374950503930449e-05(0.0)
2,2; 0,"(1374, 1374)",0,3775752,18.87876,41.94304,3.483242937363684e-05(0.0)
3,2; 1,"(1374, 1374)",0,3775752,18.87876,41.94304,1.6904439544305205e-05(0.0)
4,2; 0,"(1509, 1509)",0,4554162,22.77081,39.845888,4.081867053173483e-05(0.0)
5,2; 1,"(1509, 1509)",0,4554162,22.77081,39.845888,2.294819103553891e-05(0.0)
6,2; 0,"(1632, 1632)",0,5326848,26.63424,44.040192,4.9704810371622444e-05(0.0)
7,2; 1,"(1632, 1632)",0,5326848,26.63424,44.040192,3.1994149321690204e-05(0.0)
8,2; 0,"(1748, 1748)",0,6111008,30.55504,46.137344,5.4886429570615295e-05(0.0)
9,2; 1,"(1748, 1748)",0,6111008,30.55504,46.137344,3.8671500515192744e-05(0.0)
10,2; 0,"(1855, 1855)",0,6882050,34.41025,50.331648,6.0614990070462226e-05(0.0)
11,2; 1,"(1855, 1855)",0,6882050,34.41025,50.331648,4.2602550238370895e-05(0.0)
12,2; 0,"(1957, 1957)",0,7659698,38.29849,52.4288,6.533602951094508e-05(0.0)
13,2; 1,"(1957, 1957)",0,7659698,38.29849,52.4288,4.7216699458658694e-05(0.0)
14,2; 0,"(2054, 2054)",0,8437832,42.18916,56.623104,7.225995999760925e-05(0.0)
15,2; 1,"(2054, 2054)",0,8437832,42.18916,56.623104,5.084657110273838e-05(0.0)
16,2; 0,"(2147, 2147)",0,9219218,46.09609,58.720256,7.712768972851337e-05(0.0)
17,2; 1,"(2147, 2147)",0,9219218,46.09609,58.720256,5.55360596626997e-05(0.0)
18,2; 0,"(2236, 2236)",0,9999392,49.99696,62.91456,8.414700045250356e-05(0.0)
19,2; 1,"(2236, 2236)",0,9999392,49.99696,62.91456,0.00012130512041039765(0.0)
20,2; 0,"(2321, 2321)",0,10774082,53.87041,69.206016,8.894067956134677e-05(0.0)
21,2; 1,"(2321, 2321)",0,10774082,53.87041,69.206016,6.372819072566926e-05(0.0)
22,2; 0,"(2403, 2403)",0,11548818,57.74409,73.40032,9.457125095650554e-05(0.0)
23,2; 1,"(2403, 2403)",0,11548818,57.74409,73.40032,6.720388075336813e-05(0.0)
24,2; 0,"(2483, 2483)",0,12330578,61.65289,75.497472,0.00010099251987412572(0.0)
25,2; 1,"(2483, 2483)",0,12330578,61.65289,75.497472,7.160833105444908e-05(0.0)
26,2; 0,"(2560, 2560)",0,13107200,65.536,81.788928,0.00010781856020912528(0.0)
27,2; 1,"(2560, 2560)",0,13107200,65.536,81.788928,7.543978979811072e-05(0.0)
28,2; 0,"(2635, 2635)",0,13886450,69.43225,85.983232,0.00011395238921977579(0.0)
29,2; 1,"(2635, 2635)",0,13886450,69.43225,85.983232,7.96841294504702e-05(0.0)
30,2; 0,"(2708, 2708)",0,14666528,73.33264,88.080384,0.00011986920959316195(0.0)
31,2; 1,"(2708, 2708)",0,14666528,73.33264,88.080384,8.418797049671412e-05(0.0)
32,2; 0,"(2778, 2778)",0,15434568,77.17284,96.468992,0.00012757641030475497(0.0)
33,2; 1,"(2778, 2778)",0,15434568,77.17284,96.468992,8.789899991825223e-05(0.0)
34,2; 0,"(2848, 2848)",0,16222208,81.11104,98.566144,0.0001356153399683535(0.0)
35,2; 1,"(2848, 2848)",0,16222208,81.11104,98.566144,9.23338090069592e-05(0.0)
36,2; 0,"(2915, 2915)",0,16994450,84.97225,106.954752,0.0001451775699388236(0.0)
37,2; 1,"(2915, 2915)",0,16994450,84.97225,106.954752,9.621937992051244e-05(0.0)
38,2; 0,"(2981, 2981)",0,17772722,88.86361,109.051904,0.00015476904925890267(0.0)
39,2; 1,"(2981, 2981)",0,17772722,88.86361,109.051904,0.00010076248901896178(0.0)
40,2; 0,"(3045, 3045)",0,18544050,92.72025,113.246208,0.00015363771002739667(0.0)
41,2; 1,"(3045, 3045)",0,18544050,92.72025,113.246208,9.926564991474151e-05(0.0)
42,2; 0,"(3109, 3109)",0,19331762,96.65881,119.537664,0.00016837364062666894(0.0)
43,2; 1,"(3109, 3109)",0,19331762,96.65881,119.537664,0.00010351571021601558(0.0)
44,2; 0,"(3171, 3171)",0,20110482,100.55241,123.731968,0.00018298392998985946(0.0)
45,2; 1,"(3171, 3171)",0,20110482,100.55241,123.731968,0.00010463892947882415(0.0)
46,2; 0,"(3231, 3231)",0,20878722,104.39361,125.82912,0.00019817251013591884(0.0)
47,2; 1,"(3231, 3231)",0,20878722,104.39361,125.82912,0.00010835557943210005(0.0)
48,2; 0,"(3291, 3291)",0,21661362,108.30681,134.217728,0.00021874019992537797(0.0)
49,2; 1,"(3291, 3291)",0,21661362,108.30681,134.217728,0.00011223601992242038(0.0)
50,2; 0,"(3349, 3349)",0,22431602,112.15801,136.31488,0.00023982184939086437(0.0)
51,2; 1,"(3349, 3349)",0,22431602,112.15801,136.31488,0.00011563697014935315(0.0)
52,2; 0,"(3407, 3407)",0,23215298,116.07649,144.703488,0.0002626640594098717(0.0)
53,2; 1,"(3407, 3407)",0,23215298,116.07649,144.703488,0.00011968614999204873(0.0)
54,2; 0,"(3464, 3464)",0,23998592,119.99296,146.80064,0.00028467618045397103(0.0)
55,2; 1,"(3464, 3464)",0,23998592,119.99296,146.80064,0.0001236884400714189(0.0)
56,2; 0,"(3519, 3519)",0,24766722,123.83361,150.994944,0.0003074230905622244(0.0)
57,2; 1,"(3519, 3519)",0,24766722,123.83361,150.994944,0.0001273386599496007(0.0)
58,2; 0,"(3574, 3574)",0,25546952,127.73476,157.2864,0.00033168548019602896(0.0)
59,2; 1,"(3574, 3574)",0,25546952,127.73476,157.2864,0.000131289039272815(0.0)
60,2; 0,"(3628, 3628)",0,26324768,131.62384,161.480704,0.0003573165601119399(0.0)
61,2; 1,"(3628, 3628)",0,26324768,131.62384,161.480704,0.00013499957043677568(0.0)
62,2; 0,"(3681, 3681)",0,27099522,135.49761,163.577856,0.00038433506968431173(0.0)
63,2; 1,"(3681, 3681)",0,27099522,135.49761,163.577856,0.00013886470929719508(0.0)
64,2; 0,"(3734, 3734)",0,27885512,139.42756,171.966464,0.0004129614296834916(0.0)
65,2; 1,"(3734, 3734)",0,27885512,139.42756,171.966464,0.00014284125063568354(0.0)
66,2; 0,"(3785, 3785)",0,28652450,143.26225,174.063616,0.00043823774089105425(0.0)
67,2; 1,"(3785, 3785)",0,28652450,143.26225,174.063616,0.0001469288906082511(0.0)
68,2; 0,"(3836, 3836)",0,29429792,147.14896,182.452224,0.00046497592004016044(0.0)
69,2; 1,"(3836, 3836)",0,29429792,147.14896,182.452224,0.00015050826943479478(0.0)
70,2; 0,"(3887, 3887)",0,30217538,151.08769,184.549376,0.0004924726404715329(0.0)
71,2; 1,"(3887, 3887)",0,30217538,151.08769,184.549376,0.00015440265065990388(0.0)
72,2; 0,"(3937, 3937)",0,30999938,154.99969,188.74368,0.0005218281806446612(0.0)
73,2; 1,"(3937, 3937)",0,30999938,154.99969,188.74368,0.00015808923984877765(0.0)
