,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2; 0; 1,"(2738, 2738)",0,7499382,15.015192,35.651584,9.832882089540363e-05(0.0)
1,2; 0; 2,"(2738, 2738)",0,7498013,15.00424,39.845888,5.050963955000043e-05(0.0)
2,2; 0; 4,"(2738, 2738)",0,7497328,14.99876,39.845888,2.7912469813600183e-05(0.0)
3,2; 0; 8,"(2738, 2738)",0,7496986,14.996024,39.845888,1.6255609225481748e-05(0.0)
4,2; 1; 1,"(2738, 2738)",0,7499382,15.015192,35.651584,0.00011065742932260036(0.0)
5,2; 1; 2,"(2738, 2738)",0,7498013,15.00424,39.845888,5.182080902159214e-05(0.0)
6,2; 1; 4,"(2738, 2738)",0,7497328,14.99876,39.845888,2.764587989076972e-05(0.0)
7,2; 1; 8,"(2738, 2738)",0,7496986,14.996024,39.845888,1.6364420298486947e-05(0.0)
8,2; 0; 1,"(3073, 3073)",0,9446402,18.911242,44.040192,0.00013634562026709318(0.0)
9,2; 0; 2,"(3073, 3073)",0,9444865,18.898946,44.040192,6.198887014761567e-05(0.0)
10,2; 0; 4,"(3073, 3073)",0,9444097,18.892802,44.040192,3.37563909124583e-05(0.0)
11,2; 0; 8,"(3073, 3073)",0,9443713,18.88973,44.040192,1.8987359944730996e-05(0.0)
12,2; 1; 1,"(3073, 3073)",0,9446402,18.911242,44.040192,0.0001433318795170635(0.0)
13,2; 1; 2,"(3073, 3073)",0,9444865,18.898946,44.040192,6.616872968152166e-05(0.0)
14,2; 1; 4,"(3073, 3073)",0,9444097,18.892802,44.040192,3.5964950220659376e-05(0.0)
15,2; 1; 8,"(3073, 3073)",0,9443713,18.88973,44.040192,2.0192029187455772e-05(0.0)
16,2; 0; 1,"(3374, 3374)",0,11387250,22.794744,48.234496,0.00017019949038513005(0.0)
17,2; 0; 2,"(3374, 3374)",0,11385563,22.781248,37.748736,7.431978941895068e-05(0.0)
18,2; 0; 4,"(3374, 3374)",0,11384719,22.774496,46.137344,3.930583014152944e-05(0.0)
19,2; 0; 8,"(3374, 3374)",0,11384297,22.77112,46.137344,2.1759989904239775e-05(0.0)
20,2; 1; 1,"(3374, 3374)",0,11387250,22.794744,48.234496,0.0001766094600316137(0.0)
21,2; 1; 2,"(3374, 3374)",0,11385563,22.781248,37.748736,8.90400295611471e-05(0.0)
22,2; 1; 4,"(3374, 3374)",0,11384719,22.774496,46.137344,4.82823490165174e-05(0.0)
23,2; 1; 8,"(3374, 3374)",0,11384297,22.77112,46.137344,2.6319969911128283e-05(0.0)
24,2; 0; 1,"(3651, 3651)",0,13333452,26.68881,56.623104,0.00019711638917215167(0.0)
25,2; 0; 2,"(3651, 3651)",0,13331626,26.674202,44.040192,8.939487976022065e-05(0.0)
26,2; 0; 4,"(3651, 3651)",0,13330713,26.666898,50.331648,4.553617094643414e-05(0.0)
27,2; 0; 8,"(3651, 3651)",0,13330257,26.66325,50.331648,2.5441920151934027e-05(0.0)
28,2; 1; 1,"(3651, 3651)",0,13333452,26.68881,56.623104,0.00020393915008753538(0.0)
29,2; 1; 2,"(3651, 3651)",0,13331626,26.674202,44.040192,0.00010639201034791768(0.0)
30,2; 1; 4,"(3651, 3651)",0,13330713,26.666898,50.331648,5.6092559825628994e-05(0.0)
31,2; 1; 8,"(3651, 3651)",0,13330257,26.66325,50.331648,3.307680948637426e-05(0.0)
32,2; 0; 1,"(3908, 3908)",0,15276372,30.576192,65.011712,0.000224696840159595(0.0)
33,2; 0; 2,"(3908, 3908)",0,15274418,30.56056,50.331648,0.00010713930940255523(0.0)
34,2; 0; 4,"(3908, 3908)",0,15273441,30.552744,54.525952,5.093413987196982e-05(0.0)
35,2; 0; 8,"(3908, 3908)",0,15272952,30.548832,54.525952,2.8150929138064386e-05(0.0)
36,2; 1; 1,"(3908, 3908)",0,15276372,30.576192,65.011712,0.0002350718795787543(0.0)
37,2; 1; 2,"(3908, 3908)",0,15274418,30.56056,50.331648,0.0001228163402993232(0.0)
38,2; 1; 4,"(3908, 3908)",0,15273441,30.552744,54.525952,6.012085010297596e-05(0.0)
39,2; 1; 8,"(3908, 3908)",0,15272952,30.548832,54.525952,3.66224895697087e-05(0.0)
40,2; 0; 1,"(4149, 4149)",0,17218350,34.461594,73.40032,0.0002344024204649031(0.0)
41,2; 0; 2,"(4149, 4149)",0,17216275,34.444994,56.623104,0.00011641990044154226(0.0)
42,2; 0; 4,"(4149, 4149)",0,17215238,34.436698,58.720256,5.103723029606044e-05(0.0)
43,2; 0; 8,"(4149, 4149)",0,17214719,34.432546,58.720256,2.7860680129379036e-05(0.0)
44,2; 1; 1,"(4149, 4149)",0,17218350,34.461594,73.40032,0.00023877086001448334(0.0)
45,2; 1; 2,"(4149, 4149)",0,17216275,34.444994,56.623104,0.00012571139028295876(0.0)
46,2; 1; 4,"(4149, 4149)",0,17215238,34.436698,58.720256,6.793476059101522e-05(0.0)
47,2; 1; 8,"(4149, 4149)",0,17214719,34.432546,58.720256,4.106816020794213e-05(0.0)
48,2; 0; 1,"(4377, 4377)",0,19162506,38.351274,81.788928,0.00025860411929897966(0.0)
49,2; 0; 2,"(4377, 4377)",0,19160317,38.333762,62.91456,0.00013064348953776062(0.0)
50,2; 0; 4,"(4377, 4377)",0,19159223,38.32501,62.91456,5.607052007690072e-05(0.0)
51,2; 0; 8,"(4377, 4377)",0,19158676,38.320634,62.91456,3.0069639906287192e-05(0.0)
52,2; 1; 1,"(4377, 4377)",0,19162506,38.351274,81.788928,0.0002698687301017344(0.0)
53,2; 1; 2,"(4377, 4377)",0,19160317,38.333762,62.91456,0.00014100632048211993(0.0)
54,2; 1; 4,"(4377, 4377)",0,19159223,38.32501,62.91456,7.090986007824541e-05(0.0)
55,2; 1; 8,"(4377, 4377)",0,19158676,38.320634,62.91456,4.330978030338883e-05(0.0)
56,2; 0; 1,"(4594, 4594)",0,21109430,42.246424,90.177536,0.0002641644899267703(0.0)
57,2; 0; 2,"(4594, 4594)",0,21107133,42.228048,69.206016,0.00013583746971562505(0.0)
58,2; 0; 4,"(4594, 4594)",0,21105984,42.218856,58.720256,5.6815630523487924e-05(0.0)
59,2; 0; 8,"(4594, 4594)",0,21105410,42.214264,67.108864,3.0004819855093956e-05(0.0)
60,2; 1; 1,"(4594, 4594)",0,21109430,42.246424,90.177536,0.00027796178008429703(0.0)
61,2; 1; 2,"(4594, 4594)",0,21107133,42.228048,69.206016,0.00014325555064715446(0.0)
62,2; 1; 4,"(4594, 4594)",0,21105984,42.218856,58.720256,7.995520019903778e-05(0.0)
63,2; 1; 8,"(4594, 4594)",0,21105410,42.214264,67.108864,4.777229041792452e-05(0.0)
64,2; 0; 1,"(4801, 4801)",0,23054402,46.13761,94.37184,0.0002875052706804127(0.0)
65,2; 0; 2,"(4801, 4801)",0,23052001,46.118402,71.303168,0.00014035048079676926(0.0)
66,2; 0; 4,"(4801, 4801)",0,23050801,46.108802,60.817408,5.860038101673126e-05(0.0)
67,2; 0; 8,"(4801, 4801)",0,23050201,46.104002,69.206016,3.0365800485014914e-05(0.0)
68,2; 1; 1,"(4801, 4801)",0,23054402,46.13761,94.37184,0.00028603849932551384(0.0)
69,2; 1; 2,"(4801, 4801)",0,23052001,46.118402,71.303168,0.00014592327061109246(0.0)
70,2; 1; 4,"(4801, 4801)",0,23050801,46.108802,60.817408,8.110357099212706e-05(0.0)
71,2; 1; 8,"(4801, 4801)",0,23050201,46.104002,69.206016,5.191059084609151e-05(0.0)
72,2; 0; 1,"(5000, 5000)",0,25005000,50.04,102.760448,0.0002951900404877961(0.0)
73,2; 0; 2,"(5000, 5000)",0,25002500,50.02,77.594624,0.0001519683504011482(0.0)
74,2; 0; 4,"(5000, 5000)",0,25001250,50.01,65.011712,6.504782009869814e-05(0.0)
75,2; 0; 8,"(5000, 5000)",0,25000625,50.005,73.40032,3.2501220703125e-05(0.0)
76,2; 1; 1,"(5000, 5000)",0,25005000,50.04,102.760448,0.0003129845601506531(0.0)
77,2; 1; 2,"(5000, 5000)",0,25002500,50.02,77.594624,0.00016420761006884276(0.0)
78,2; 1; 4,"(5000, 5000)",0,25001250,50.01,65.011712,8.927255985327064e-05(0.0)
79,2; 1; 8,"(5000, 5000)",0,25000625,50.005,73.40032,5.6060999631881715e-05(0.0)
80,2; 0; 1,"(5190, 5190)",0,26941290,53.91372,111.149056,0.00031622154987417163(0.0)
81,2; 0; 2,"(5190, 5190)",0,26938695,53.89296,83.88608,0.0001610317302402109(0.0)
