,Input dims,Input size,"Sparsities (input, other)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2,"[(1581, 1581), (1581, 1581)]",0 ; 0,4999122,9.998244,20.97152,0.00017089201835915446(0.0)
1,2,"[(1636, 1636), (1636, 1636)]",0 ; 0,5352992,10.705984,20.97152,0.00011012925999239087(0.0)
2,2,"[(1689, 1689), (1689, 1689)]",0 ; 0,5705442,11.410884,20.97152,0.00017890339018777012(0.0)
3,2,"[(1740, 1740), (1740, 1740)]",0 ; 0,6055200,12.1104,20.97152,0.00014619790948927402(0.0)
4,2,"[(1790, 1790), (1790, 1790)]",0 ; 0,6408200,12.8164,20.97152,0.00012934862868860364(0.0)
5,2,"[(1839, 1839), (1839, 1839)]",0 ; 0,6763842,13.527684,20.97152,0.000284163230098784(0.0)
6,2,"[(1886, 1886), (1886, 1886)]",0 ; 0,7113992,14.227984,41.94304,0.00022301974007859826(0.0)
7,2,"[(1933, 1933), (1933, 1933)]",0 ; 0,7472978,14.945956,41.94304,0.00033387518022209405(0.0)
8,2,"[(1978, 1978), (1978, 1978)]",0 ; 0,7824968,15.649936,41.94304,0.0002384372102096677(0.0)
9,2,"[(2022, 2022), (2022, 2022)]",0 ; 0,8176968,16.353936,41.94304,0.00022981129121035337(0.0)
10,2,"[(2065, 2065), (2065, 2065)]",0 ; 0,8528450,17.0569,41.94304,0.0003934004995971918(0.0)
11,2,"[(2108, 2108), (2108, 2108)]",0 ; 0,8887328,17.774656,41.94304,0.00025248959893360736(0.0)
12,2,"[(2149, 2149), (2149, 2149)]",0 ; 0,9236402,18.472804,41.94304,0.0004578719800338149(0.0)
13,2,"[(2190, 2190), (2190, 2190)]",0 ; 0,9592200,19.1844,41.94304,0.0002475974499247968(0.0)
14,2,"[(2230, 2230), (2230, 2230)]",0 ; 0,9945800,19.8916,41.94304,0.0002553939889185131(0.0)
15,2,"[(2269, 2269), (2269, 2269)]",0 ; 0,10296722,20.593444,41.94304,0.0004884932097047567(0.0)
16,2,"[(2308, 2308), (2308, 2308)]",0 ; 0,10653728,21.307456,37.748736,0.0002823576098307967(0.0)
17,2,"[(2346, 2346), (2346, 2346)]",0 ; 0,11007432,22.014864,37.748736,0.0002976571605540812(0.0)
18,2,"[(2383, 2383), (2383, 2383)]",0 ; 0,11357378,22.714756,37.748736,0.000510536921210587(0.0)
19,2,"[(2420, 2420), (2420, 2420)]",0 ; 0,11712800,23.4256,37.748736,0.0003081432916224003(0.0)
20,2,"[(2456, 2456), (2456, 2456)]",0 ; 0,12063872,24.127744,37.748736,0.0002212099195457995(0.0)
21,2,"[(2492, 2492), (2492, 2492)]",0 ; 0,12420128,24.840256,37.748736,0.00032063032034784555(0.0)
22,2,"[(2527, 2527), (2527, 2527)]",0 ; 0,12771458,25.542916,44.040192,0.0005543088191188872(0.0)
23,2,"[(2562, 2562), (2562, 2562)]",0 ; 0,13127688,26.255376,44.040192,0.00040945997927337884(0.0)
24,2,"[(2596, 2596), (2596, 2596)]",0 ; 0,13478432,26.956864,44.040192,0.0004452336602844298(0.0)
25,2,"[(2630, 2630), (2630, 2630)]",0 ; 0,13833800,27.6676,44.040192,0.00045563113875687124(0.0)
26,2,"[(2663, 2663), (2663, 2663)]",0 ; 0,14183138,28.366276,44.040192,0.0007467489107511937(0.0)
27,2,"[(2696, 2696), (2696, 2696)]",0 ; 0,14536832,29.073664,44.040192,0.00029562761075794695(0.0)
28,2,"[(2729, 2729), (2729, 2729)]",0 ; 0,14894882,29.789764,50.331648,0.0007604511408135294(0.0)
29,2,"[(2761, 2761), (2761, 2761)]",0 ; 0,15246242,30.492484,50.331648,0.0007964321109466255(0.0)
30,2,"[(2793, 2793), (2793, 2793)]",0 ; 0,15601698,31.203396,50.331648,0.0007988389697857201(0.0)
31,2,"[(2824, 2824), (2824, 2824)]",0 ; 0,15949952,31.899904,50.331648,0.00031725061824545265(0.0)
32,2,"[(2855, 2855), (2855, 2855)]",0 ; 0,16302050,32.6041,50.331648,0.0009062513802200556(0.0)
33,2,"[(2886, 2886), (2886, 2886)]",0 ; 0,16657992,33.315984,50.331648,0.0005509167117998003(0.0)
34,2,"[(2917, 2917), (2917, 2917)]",0 ; 0,17017778,34.035556,56.623104,0.0009310650313273072(0.0)
35,2,"[(2947, 2947), (2947, 2947)]",0 ; 0,17369618,34.739236,56.623104,0.0008942626998759806(0.0)
36,2,"[(2977, 2977), (2977, 2977)]",0 ; 0,17725058,35.450116,56.623104,0.0009192753210663795(0.0)
37,2,"[(3006, 3006), (3006, 3006)]",0 ; 0,18072072,36.144144,56.623104,0.0005599985900335014(0.0)
38,2,"[(3035, 3035), (3035, 3035)]",0 ; 0,18422450,36.8449,56.623104,0.0009664596896618604(0.0)
39,2,"[(3064, 3064), (3064, 3064)]",0 ; 0,18776192,37.552384,56.623104,0.0003751484607346356(0.0)
40,2,"[(3093, 3093), (3093, 3093)]",0 ; 0,19133298,38.266596,62.91456,0.0011109391506761313(0.0)
41,2,"[(3122, 3122), (3122, 3122)]",0 ; 0,19493768,38.987536,62.91456,0.0006577454297803342(0.0)
42,2,"[(3150, 3150), (3150, 3150)]",0 ; 0,19845000,39.69,62.91456,0.0006759736104868352(0.0)
43,2,"[(3178, 3178), (3178, 3178)]",0 ; 0,20199368,40.398736,62.91456,0.0006922561186365784(0.0)
44,2,"[(3205, 3205), (3205, 3205)]",0 ; 0,20544050,41.0881,62.91456,0.0012188966921530663(0.0)
45,2,"[(3233, 3233), (3233, 3233)]",0 ; 0,20904578,41.809156,62.91456,0.0012339595099911094(0.0)
46,2,"[(3260, 3260), (3260, 3260)]",0 ; 0,21255200,42.5104,69.206016,0.0007839728496037424(0.0)
47,2,"[(3287, 3287), (3287, 3287)]",0 ; 0,21608738,43.217476,69.206016,0.0014109627809375525(0.0)
48,2,"[(3314, 3314), (3314, 3314)]",0 ; 0,21965192,43.930384,69.206016,0.0007673410698771476(0.0)
49,2,"[(3340, 3340), (3340, 3340)]",0 ; 0,22311200,44.6224,69.206016,0.000807373512070626(0.0)
50,2,"[(3367, 3367), (3367, 3367)]",0 ; 0,22673378,45.346756,69.206016,0.0014132496993988753(0.0)
51,2,"[(3393, 3393), (3393, 3393)]",0 ; 0,23024898,46.049796,69.206016,0.0014286103704944254(0.0)
52,2,"[(3419, 3419), (3419, 3419)]",0 ; 0,23379122,46.758244,75.497472,0.0014551367610692977(0.0)
53,2,"[(3445, 3445), (3445, 3445)]",0 ; 0,23736050,47.4721,75.497472,0.0014316688617691399(0.0)
54,2,"[(3470, 3470), (3470, 3470)]",0 ; 0,24081800,48.1636,75.497472,0.0008452555886469781(0.0)
55,2,"[(3496, 3496), (3496, 3496)]",0 ; 0,24444032,48.888064,75.497472,0.0005483134812675417(0.0)
56,2,"[(3521, 3521), (3521, 3521)]",0 ; 0,24794882,49.589764,75.497472,0.0015069975703954697(0.0)
57,2,"[(3546, 3546), (3546, 3546)]",0 ; 0,25148232,50.296464,75.497472,0.000870189571287483(0.0)
58,2,"[(3571, 3571), (3571, 3571)]",0 ; 0,25504082,51.008164,81.788928,0.0014618383301422(0.0)
59,2,"[(3595, 3595), (3595, 3595)]",0 ; 0,25848050,51.6961,81.788928,0.0016096986900083722(0.0)
60,2,"[(3620, 3620), (3620, 3620)]",0 ; 0,26208800,52.4176,81.788928,0.0009318344900384546(0.0)
61,2,"[(3644, 3644), (3644, 3644)]",0 ; 0,26557472,53.114944,81.788928,0.0009685530583374202(0.0)
