,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
0,1 square 0,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00018535726005211472(0.0),0.0001377874599711504(0.0)
1,1 square 1,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00015913249997538516(0.0),0.00011343984995619394(0.0)
2,1 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.000210406679980224(0.0),0.0001639719399099704(0.0)
3,1 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.0001905826199799776(0.0),0.00014385201997356488(0.0)
4,1 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0002311589999590069(0.0),0.00018333982996409758(0.0)
5,1 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.00022304015001282096(0.0),0.0001755993098777253(0.0)
6,1 square 0,"(1678, 1678)",0,5631368,28.15684,46.137344,0.0002692197100259364(0.0),0.00017406561004463584(0.0)
7,1 square 1,"(1678, 1678)",0,5631368,28.15684,46.137344,0.00022275411000009627(0.0),0.00017646806008997373(0.0)
8,1 square 0,"(1804, 1804)",0,6508832,32.54416,50.331648,0.00024857600990799253(0.0),0.0001909646499552764(0.0)
9,1 square 1,"(1804, 1804)",0,6508832,32.54416,50.331648,0.00026167877003899773(0.0),0.0002072205599688459(0.0)
10,1 square 0,"(1922, 1922)",0,7388168,36.94084,54.525952,0.00027358106002793646(0.0),0.00021141498989891262(0.0)
11,1 square 1,"(1922, 1922)",0,7388168,36.94084,54.525952,0.00030137508001644165(0.0),0.00023911783006042242(0.0)
12,1 square 0,"(2033, 2033)",0,8266178,41.33089,56.623104,0.00029512095003155994(0.0),0.00023093016003258526(0.0)
13,1 square 1,"(2033, 2033)",0,8266178,41.33089,56.623104,0.0003324328499729745(0.0),0.0002665174000139814(0.0)
14,1 square 0,"(2139, 2139)",0,9150642,45.75321,60.817408,0.00031970951997209343(0.0),0.0002490747500269208(0.0)
15,1 square 1,"(2139, 2139)",0,9150642,45.75321,60.817408,0.00036653991002822295(0.0),0.0002995713701238856(0.0)
16,1 square 0,"(2239, 2239)",0,10026242,50.13121,65.011712,0.00034329449001234023(0.0),0.0002718387699860614(0.0)
17,1 square 1,"(2239, 2239)",0,10026242,50.13121,65.011712,0.0003968460799660534(0.0),0.0003262305399402976(0.0)
18,1 square 0,"(2335, 2335)",0,10904450,54.52225,71.303168,0.0003668857600132469(0.0),0.0002930371199909132(0.0)
19,1 square 1,"(2335, 2335)",0,10904450,54.52225,71.303168,0.0004301707400009036(0.0),0.000359009870007867(0.0)
20,1 square 0,"(2427, 2427)",0,11780658,58.90329,75.497472,0.0003894140299235005(0.0),0.00031109113013371825(0.0)
21,1 square 1,"(2427, 2427)",0,11780658,58.90329,75.497472,0.0004624576600326691(0.0),0.00038855480990605427(0.0)
22,1 square 0,"(2516, 2516)",0,12660512,63.30256,83.88608,0.00041307924009743147(0.0),0.0003298962699773256(0.0)
23,1 square 1,"(2516, 2516)",0,12660512,63.30256,83.88608,0.0004970436099392827(0.0),0.00041984463998232966(0.0)
24,1 square 0,"(2602, 2602)",0,13540808,67.70404,85.983232,0.00043726504998630844(0.0),0.00035081960988463833(0.0)
25,1 square 1,"(2602, 2602)",0,13540808,67.70404,85.983232,0.0005315116400015541(0.0),0.00045379668998066333(0.0)
26,1 square 0,"(2685, 2685)",0,14418450,72.09225,90.177536,0.000459239379997598(0.0),0.0003698399399581831(0.0)
27,1 square 1,"(2685, 2685)",0,14418450,72.09225,90.177536,0.0005638242799614091(0.0),0.000482827040104894(0.0)
28,1 square 0,"(2766, 2766)",0,15301512,76.50756,98.566144,0.0004844266599684488(0.0),0.00039013077999697996(0.0)
29,1 square 1,"(2766, 2766)",0,15301512,76.50756,98.566144,0.0006024032999994234(0.0),0.0005204692701227031(0.0)
30,1 square 0,"(2844, 2844)",0,16176672,80.88336,100.663296,0.0005081312599941156(0.0),0.00041199811006663366(0.0)
31,1 square 1,"(2844, 2844)",0,16176672,80.88336,100.663296,0.0006757626199396327(0.0),0.00054680814006133(0.0)
32,1 square 0,"(2920, 2920)",0,17052800,85.264,109.051904,0.0005289435799932107(0.0),0.0004299930100387428(0.0)
33,1 square 1,"(2920, 2920)",0,17052800,85.264,109.051904,0.0006686236200039275(0.0),0.0005808805199922063(0.0)
34,1 square 0,"(2994, 2994)",0,17928072,89.64036,113.246208,0.0005546402400068473(0.0),0.0004524787000264041(0.0)
35,1 square 1,"(2994, 2994)",0,17928072,89.64036,113.246208,0.000703089140006341(0.0),0.0006112384800508152(0.0)
36,1 square 0,"(3067, 3067)",0,18812978,94.06489,115.34336,0.0005759925898746588(0.0),0.0004712382399884518(0.0)
37,1 square 1,"(3067, 3067)",0,18812978,94.06489,115.34336,0.0007388247599010356(0.0),0.0006446668600256089(0.0)
38,1 square 0,"(3138, 3138)",0,19694088,98.47044,123.731968,0.0006013766399701126(0.0),0.0004943204599840101(0.0)
39,1 square 1,"(3138, 3138)",0,19694088,98.47044,123.731968,0.0007720462400175166(0.0),0.0006766689200594555(0.0)
40,1 square 0,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0006251012798747979(0.0),0.0005153270499431528(0.0)
41,1 square 1,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0008093283898779191(0.0),0.0007091605199093465(0.0)
42,1 square 0,"(3275, 3275)",0,21451250,107.25625,134.217728,0.0006482843898993451(0.0),0.0005390701099531725(0.0)
43,1 square 1,"(3275, 3275)",0,21451250,107.25625,134.217728,0.0008425491499656346(0.0),0.0007429514601244591(0.0)
44,1 square 0,"(3341, 3341)",0,22324562,111.62281,138.412032,0.0006721959600690752(0.0),0.0005612843899871222(0.0)
45,1 square 1,"(3341, 3341)",0,22324562,111.62281,138.412032,0.000877537069900427(0.0),0.0007738727900141384(0.0)
46,1 square 0,"(3406, 3406)",0,23201672,116.00836,146.80064,0.0006984008800645825(0.0),0.0005838372099970002(0.0)
47,1 square 1,"(3406, 3406)",0,23201672,116.00836,146.80064,0.00091325516012148(0.0),0.000808917609974742(0.0)
48,1 square 0,"(3470, 3470)",0,24081800,120.409,148.897792,0.0007253470999421551(0.0),0.0006267703299818095(0.0)
49,1 square 1,"(3470, 3470)",0,24081800,120.409,148.897792,0.0009461774799274281(0.0),0.0008410272799665109(0.0)
50,1 square 0,"(3533, 3533)",0,24964178,124.82089,153.092096,0.0007489060099760536(0.0),0.0006314607999229338(0.0)
51,1 square 1,"(3533, 3533)",0,24964178,124.82089,153.092096,0.0009842208599729928(0.0),0.0008755622399621643(0.0)
52,1 square 0,"(3595, 3595)",0,25848050,129.24025,161.480704,0.0007773254100175109(0.0),0.0006576998699165414(0.0)
53,1 square 1,"(3595, 3595)",0,25848050,129.24025,161.480704,0.001017049489892088(0.0),0.0009063530300045386(0.0)
