,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
0,1 square 0,"(223, 223)",0,99458,0.49729,2.097152,7.926258025690913e-05(0.0),3.523238003253937e-05(0.0)
1,1 square 1,"(223, 223)",0,99458,0.49729,2.097152,6.243878975510597e-05(0.0),1.8479321151971817e-05(0.0)
2,1 square 0,"(264, 264)",0,139392,0.69696,2.097152,8.251713123172522e-05(0.0),3.643664997071028e-05(0.0)
3,1 square 1,"(264, 264)",0,139392,0.69696,2.097152,6.869080010801554e-05(0.0),0.00011645474936813117(0.0)
4,1 square 0,"(298, 298)",0,177608,0.88804,2.097152,8.558201836422085e-05(0.0),3.5605779848992825e-05(0.0)
5,1 square 1,"(298, 298)",0,177608,0.88804,2.097152,7.177341962233186e-05(0.0),1.9020840991288423e-05(0.0)
6,1 square 0,"(330, 330)",0,217800,1.089,2.097152,9.16448701173067e-05(0.0),3.9094178937375546e-05(0.0)
7,1 square 1,"(330, 330)",0,217800,1.089,2.097152,7.104674819856883e-05(0.0),1.982435816898942e-05(0.0)
8,1 square 0,"(358, 358)",0,256328,1.28164,2.097152,9.550618007779121e-05(0.0),4.165079910308123e-05(0.0)
9,1 square 1,"(358, 358)",0,256328,1.28164,2.097152,7.67975184135139e-05(0.0),2.0610450301319362e-05(0.0)
10,1 square 0,"(385, 385)",0,296450,1.48225,23.068672,9.071090025827288e-05(0.0),4.463082877919078e-05(0.0)
11,1 square 1,"(385, 385)",0,296450,1.48225,23.068672,6.705761887133122e-05(0.0),2.1009999327361582e-05(0.0)
12,1 square 0,"(410, 410)",0,336200,1.681,23.068672,9.106347104534507e-05(0.0),4.7349978704005477e-05(0.0)
13,1 square 1,"(410, 410)",0,336200,1.681,23.068672,6.783869117498398e-05(0.0),2.2666829172521828e-05(0.0)
14,1 square 0,"(433, 433)",0,374978,1.87489,23.068672,9.231916163116694e-05(0.0),4.8673979472368954e-05(0.0)
15,1 square 1,"(433, 433)",0,374978,1.87489,23.068672,6.76720798946917e-05(0.0),2.330885035917163e-05(0.0)
16,1 square 0,"(455, 455)",0,414050,2.07025,23.068672,9.736777981743216e-05(0.0),5.116358865052462e-05(0.0)
17,1 square 1,"(455, 455)",0,414050,2.07025,23.068672,6.724755978211761e-05(0.0),2.377453027293086e-05(0.0)
18,1 square 0,"(476, 476)",0,453152,2.26576,23.068672,9.73192905075848e-05(0.0),5.2068091463297606e-05(0.0)
19,1 square 1,"(476, 476)",0,453152,2.26576,23.068672,6.855313898995518e-05(0.0),2.5305121671408414e-05(0.0)
20,1 square 0,"(496, 496)",0,492032,2.46016,23.068672,9.879037970677018e-05(0.0),5.2838849369436504e-05(0.0)
21,1 square 1,"(496, 496)",0,492032,2.46016,23.068672,7.053920067846775e-05(0.0),2.556860912591219e-05(0.0)
22,1 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.00010175627889111638(0.0),5.4868278093636034e-05(0.0)
23,1 square 1,"(516, 516)",0,532512,2.66256,23.068672,7.403490133583545e-05(0.0),2.7229948900640012e-05(0.0)
24,1 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.00010047585936263204(0.0),5.6641229894012215e-05(0.0)
25,1 square 1,"(535, 535)",0,572450,2.86225,23.068672,7.423026952892542e-05(0.0),2.844845876097679e-05(0.0)
26,1 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00010007461067289114(0.0),5.593138979747891e-05(0.0)
