,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(1224, 1224)",0,2996352,14.98176,35.651584,0.0002620011899853125(0.0)
1,1 square 1,"(1224, 1224)",0,2996352,14.98176,35.651584,0.00023983324994333088(0.0)
2,1 square 0,"(1392, 1392)",0,3875328,19.37664,65.011712,0.00034371080007986163(0.0)
3,1 square 1,"(1392, 1392)",0,3875328,19.37664,65.011712,0.00030276241988758557(0.0)
4,1 square 0,"(1542, 1542)",0,4755528,23.77764,65.011712,0.0004088134800258558(0.0)
5,1 square 1,"(1542, 1542)",0,4755528,23.77764,65.011712,0.0003603220600052737(0.0)
6,1 square 0,"(1678, 1678)",0,5631368,28.15684,69.206016,0.0004247391399985645(0.0)
7,1 square 1,"(1678, 1678)",0,5631368,28.15684,69.206016,0.0003596682300849352(0.0)
8,1 square 0,"(1804, 1804)",0,6508832,32.54416,77.594624,0.0004918166500283406(0.0)
9,1 square 1,"(1804, 1804)",0,6508832,32.54416,77.594624,0.0004134677699767053(0.0)
10,1 square 0,"(1922, 1922)",0,7388168,36.94084,85.983232,0.0005698230701091234(0.0)
11,1 square 1,"(1922, 1922)",0,7388168,36.94084,85.983232,0.0004731614400225226(0.0)
12,1 square 0,"(2033, 2033)",0,8266178,41.33089,90.177536,0.0006515139499970246(0.0)
13,1 square 1,"(2033, 2033)",0,8266178,41.33089,90.177536,0.0005172612699971069(0.0)
14,1 square 0,"(2139, 2139)",0,9150642,45.75321,119.537664,0.0007347338199906517(0.0)
15,1 square 1,"(2139, 2139)",0,9150642,45.75321,119.537664,0.0005698009300976991(0.0)
16,1 square 0,"(2239, 2239)",0,10026242,50.13121,127.926272,0.0008194414999161382(0.0)
17,1 square 1,"(2239, 2239)",0,10026242,50.13121,127.926272,0.0006214891900890506(0.0)
18,1 square 0,"(2335, 2335)",0,10904450,54.52225,136.31488,0.0009094704200106207(0.0)
19,1 square 1,"(2335, 2335)",0,10904450,54.52225,136.31488,0.0006748269600211642(0.0)
20,1 square 0,"(2427, 2427)",0,11780658,58.90329,144.703488,0.0010056421298941132(0.0)
21,1 square 1,"(2427, 2427)",0,11780658,58.90329,144.703488,0.0007284093899943401(0.0)
22,1 square 0,"(2516, 2516)",0,12660512,63.30256,157.2864,0.00108986968989484(0.0)
23,1 square 1,"(2516, 2516)",0,12660512,63.30256,157.2864,0.0007856238800741267(0.0)
24,1 square 0,"(2602, 2602)",0,13540808,67.70404,161.480704,0.0011819975900289137(0.0)
25,1 square 1,"(2602, 2602)",0,13540808,67.70404,161.480704,0.0008407601399812848(0.0)
26,1 square 0,"(2685, 2685)",0,14418450,72.09225,169.869312,0.0012757539300946518(0.0)
27,1 square 1,"(2685, 2685)",0,14418450,72.09225,169.869312,0.0008955968300870154(0.0)
28,1 square 0,"(2766, 2766)",0,15301512,76.50756,182.452224,0.0013745290700171609(0.0)
29,1 square 1,"(2766, 2766)",0,15301512,76.50756,182.452224,0.0009523609699681402(0.0)
30,1 square 0,"(2844, 2844)",0,16176672,80.88336,186.646528,0.0014748201599286404(0.0)
31,1 square 1,"(2844, 2844)",0,16176672,80.88336,186.646528,0.0010047760000452398(0.0)
32,1 square 0,"(2920, 2920)",0,17052800,85.264,199.22944,0.0015693063900107517(0.0)
33,1 square 1,"(2920, 2920)",0,17052800,85.264,199.22944,0.0010700780600018333(0.0)
34,1 square 0,"(2994, 2994)",0,17928072,89.64036,207.618048,0.0016704917700553778(0.0)
35,1 square 1,"(2994, 2994)",0,17928072,89.64036,207.618048,0.0011260859599860852(0.0)
36,1 square 0,"(3067, 3067)",0,18812978,94.06489,211.812352,0.0017816809299984015(0.0)
37,1 square 1,"(3067, 3067)",0,18812978,94.06489,211.812352,0.0011789676699845587(0.0)
38,1 square 0,"(3138, 3138)",0,19694088,98.47044,224.395264,0.001873190140031511(0.0)
39,1 square 1,"(3138, 3138)",0,19694088,98.47044,224.395264,0.0012450828700093551(0.0)
40,1 square 0,"(3207, 3207)",0,20569698,102.84849,232.783872,0.001978635769919492(0.0)
41,1 square 1,"(3207, 3207)",0,20569698,102.84849,232.783872,0.001375802980037406(0.0)
42,1 square 0,"(3275, 3275)",0,21451250,107.25625,232.783872,0.0022242884201114066(0.0)
43,1 square 1,"(3275, 3275)",0,21451250,107.25625,232.783872,0.001362874189944705(0.0)
44,1 square 0,"(3341, 3341)",0,22324562,111.62281,241.17248,0.002192419969942421(0.0)
45,1 square 1,"(3341, 3341)",0,22324562,111.62281,241.17248,0.0014268264899146743(0.0)
46,1 square 0,"(3406, 3406)",0,23201672,116.00836,253.755392,0.00230322822011658(0.0)
47,1 square 1,"(3406, 3406)",0,23201672,116.00836,253.755392,0.0015001678199041634(0.0)
48,1 square 0,"(3470, 3470)",0,24081800,120.409,257.949696,0.002406332319951616(0.0)
49,1 square 1,"(3470, 3470)",0,24081800,120.409,257.949696,0.0015481989800173325(0.0)
50,1 square 0,"(3533, 3533)",0,24964178,124.82089,266.338304,0.0025272464400040917(0.0)
51,1 square 1,"(3533, 3533)",0,24964178,124.82089,266.338304,0.0016116186899307649(0.0)
52,1 square 0,"(3595, 3595)",0,25848050,129.24025,281.018368,0.00262521584998467(0.0)
53,1 square 1,"(3595, 3595)",0,25848050,129.24025,281.018368,0.0016745960499974899(0.0)
