,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(223, 223)",0,99458,0.49729,2.097152,9.055345086380839e-05(0.0)
1,1 square 1,"(223, 223)",0,99458,0.49729,2.097152,9.097854839637876e-05(0.0)
2,1 square 0,"(264, 264)",0,139392,0.69696,2.097152,9.113655891269445e-05(0.0)
3,1 square 1,"(264, 264)",0,139392,0.69696,2.097152,9.097513975575566e-05(0.0)
4,1 square 0,"(298, 298)",0,177608,0.88804,2.097152,9.451233083382249e-05(0.0)
5,1 square 1,"(298, 298)",0,177608,0.88804,2.097152,9.39897308126092e-05(0.0)
6,1 square 0,"(330, 330)",0,217800,1.089,4.194304,9.987746831029654e-05(0.0)
7,1 square 1,"(330, 330)",0,217800,1.089,4.194304,0.00010021649999544025(0.0)
8,1 square 0,"(358, 358)",0,256328,1.28164,4.194304,0.0001067851111292839(0.0)
9,1 square 1,"(358, 358)",0,256328,1.28164,4.194304,0.00010015269042924047(0.0)
10,1 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00010283273877575994(0.0)
11,1 square 1,"(385, 385)",0,296450,1.48225,23.068672,8.789120940491557e-05(0.0)
12,1 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00010997202945873142(0.0)
13,1 square 1,"(410, 410)",0,336200,1.681,23.068672,9.148031007498503e-05(0.0)
14,1 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.00011030885856598616(0.0)
15,1 square 1,"(433, 433)",0,374978,1.87489,23.068672,9.213163051754237e-05(0.0)
16,1 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.00011280198115855456(0.0)
17,1 square 1,"(455, 455)",0,414050,2.07025,23.068672,9.393913205713034e-05(0.0)
18,1 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.00011463394155725837(0.0)
19,1 square 1,"(476, 476)",0,453152,2.26576,23.068672,9.453888051211834e-05(0.0)
20,1 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.00011697316076606513(0.0)
21,1 square 1,"(496, 496)",0,492032,2.46016,23.068672,9.564556879922748e-05(0.0)
22,1 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.00011910388013347984(0.0)
23,1 square 1,"(516, 516)",0,532512,2.66256,23.068672,9.913435904309154e-05(0.0)
24,1 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.00012492627138271928(0.0)
25,1 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.00010176192037761211(0.0)
26,1 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00012601112015545369(0.0)
27,1 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.00010297882137820124(0.0)
28,1 square 0,"(570, 570)",0,649800,3.249,23.068672,0.00012689228868111968(0.0)
29,1 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00010574835119768978(0.0)
30,1 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.00012967125046998263(0.0)
