,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(1224, 1224)",0,2996352,14.98176,44.040192,0.000356726680038264(0.0)
1,1 square 1,"(1224, 1224)",0,2996352,14.98176,44.040192,0.00030754513005376794(0.0)
2,1 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00042180303993518466(0.0)
3,1 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.0003511296299984679(0.0)
4,1 square 0,"(1542, 1542)",0,4755528,23.77764,65.011712,0.00038707087995135223(0.0)
5,1 square 1,"(1542, 1542)",0,4755528,23.77764,65.011712,0.0003758866700809449(0.0)
6,1 square 0,"(1678, 1678)",0,5631368,28.15684,67.108864,0.00044734167007845824(0.0)
7,1 square 1,"(1678, 1678)",0,5631368,28.15684,67.108864,0.0004531577399757225(0.0)
8,1 square 0,"(1804, 1804)",0,6508832,32.54416,71.303168,0.0004892983799800277(0.0)
9,1 square 1,"(1804, 1804)",0,6508832,32.54416,71.303168,0.0005171687999973074(0.0)
10,1 square 0,"(1922, 1922)",0,7388168,36.94084,75.497472,0.0005372117299702949(0.0)
11,1 square 1,"(1922, 1922)",0,7388168,36.94084,75.497472,0.0005911428600666114(0.0)
12,1 square 0,"(2033, 2033)",0,8266178,41.33089,77.594624,0.0005825863100471907(0.0)
13,1 square 1,"(2033, 2033)",0,8266178,41.33089,77.594624,0.0006568413900095038(0.0)
14,1 square 0,"(2139, 2139)",0,9150642,45.75321,102.760448,0.0006282833799195941(0.0)
15,1 square 1,"(2139, 2139)",0,9150642,45.75321,102.760448,0.0007296133899944835(0.0)
16,1 square 0,"(2239, 2239)",0,10026242,50.13121,106.954752,0.0006769705000624526(0.0)
17,1 square 1,"(2239, 2239)",0,10026242,50.13121,106.954752,0.0007911310299823526(0.0)
18,1 square 0,"(2335, 2335)",0,10904450,54.52225,117.440512,0.0007222123201063368(0.0)
19,1 square 1,"(2335, 2335)",0,10904450,54.52225,117.440512,0.0008643886499339714(0.0)
