,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(223, 223)",0,99458,0.49729,2.097152,0.00013499535154551268(0.0)
1,1 square 1,"(223, 223)",0,99458,0.49729,2.097152,0.0001332516293041408(0.0)
2,1 square 0,"(264, 264)",0,139392,0.69696,2.097152,0.00013662823941558598(0.0)
3,1 square 1,"(264, 264)",0,139392,0.69696,2.097152,0.0001344422879628837(0.0)
4,1 square 0,"(298, 298)",0,177608,0.88804,2.097152,0.00014706581830978394(0.0)
5,1 square 1,"(298, 298)",0,177608,0.88804,2.097152,0.00014103878987953067(0.0)
6,1 square 0,"(330, 330)",0,217800,1.089,2.097152,0.00015129453968256711(0.0)
7,1 square 1,"(330, 330)",0,217800,1.089,2.097152,0.00014312174171209334(0.0)
8,1 square 0,"(358, 358)",0,256328,1.28164,4.194304,0.00015938416123390198(0.0)
9,1 square 1,"(358, 358)",0,256328,1.28164,4.194304,0.0001464464492164552(0.0)
10,1 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00015199607005342842(0.0)
11,1 square 1,"(385, 385)",0,296450,1.48225,23.068672,0.0001376676093786955(0.0)
12,1 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00015530102886259555(0.0)
13,1 square 1,"(410, 410)",0,336200,1.681,23.068672,0.00013949646847322584(0.0)
14,1 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.0001643771305680275(0.0)
15,1 square 1,"(433, 433)",0,374978,1.87489,23.068672,0.00013978161150589584(0.0)
16,1 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.000169666251167655(0.0)
17,1 square 1,"(455, 455)",0,414050,2.07025,23.068672,0.0001379858097061515(0.0)
18,1 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.00016781492857262492(0.0)
19,1 square 1,"(476, 476)",0,453152,2.26576,23.068672,0.000137344088871032(0.0)
20,1 square 0,"(496, 496)",0,492032,2.46016,25.165824,0.000171198348980397(0.0)
21,1 square 1,"(496, 496)",0,492032,2.46016,25.165824,0.00013890916015952827(0.0)
22,1 square 0,"(516, 516)",0,532512,2.66256,25.165824,0.0001704831002280116(0.0)
23,1 square 1,"(516, 516)",0,532512,2.66256,25.165824,0.00013809501193463804(0.0)
24,1 square 0,"(535, 535)",0,572450,2.86225,25.165824,0.00017730914056301116(0.0)
25,1 square 1,"(535, 535)",0,572450,2.86225,25.165824,0.00013890254078432917(0.0)
26,1 square 0,"(553, 553)",0,611618,3.05809,25.165824,0.0001792017207480967(0.0)
27,1 square 1,"(553, 553)",0,611618,3.05809,25.165824,0.0001382265705615282(0.0)
28,1 square 0,"(570, 570)",0,649800,3.249,25.165824,0.00018040490103885532(0.0)
29,1 square 1,"(570, 570)",0,649800,3.249,25.165824,0.00013861919986084105(0.0)
30,1 square 0,"(587, 587)",0,689138,3.44569,25.165824,0.00018845605896785855(0.0)
31,1 square 1,"(587, 587)",0,689138,3.44569,25.165824,0.0001401686412282288(0.0)
32,1 square 0,"(604, 604)",0,729632,3.64816,25.165824,0.00019387863110750914(0.0)
33,1 square 1,"(604, 604)",0,729632,3.64816,25.165824,0.0001384363602846861(0.0)
34,1 square 0,"(620, 620)",0,768800,3.844,25.165824,0.00019550462020561098(0.0)
35,1 square 1,"(620, 620)",0,768800,3.844,25.165824,0.00014073152095079423(0.0)
36,1 square 0,"(636, 636)",0,808992,4.04496,25.165824,0.00020202727988362314(0.0)
37,1 square 1,"(636, 636)",0,808992,4.04496,25.165824,0.00014123167144134641(0.0)
38,1 square 0,"(651, 651)",0,847602,4.23801,27.262976,0.00020399161148816348(0.0)
39,1 square 1,"(651, 651)",0,847602,4.23801,27.262976,0.0001460087182931602(0.0)
40,1 square 0,"(666, 666)",0,887112,4.43556,27.262976,0.00020269074011594057(0.0)
41,1 square 1,"(666, 666)",0,887112,4.43556,27.262976,0.00014607394114136697(0.0)
42,1 square 0,"(680, 680)",0,924800,4.624,27.262976,0.00020739505998790264(0.0)
43,1 square 1,"(680, 680)",0,924800,4.624,27.262976,0.00014753289986401796(0.0)
44,1 square 0,"(695, 695)",0,966050,4.83025,27.262976,0.00021200438961386682(0.0)
45,1 square 1,"(695, 695)",0,966050,4.83025,27.262976,0.00015219322871416806(0.0)
46,1 square 0,"(709, 709)",0,1005362,5.02681,27.262976,0.00021927786991000176(0.0)
47,1 square 1,"(709, 709)",0,1005362,5.02681,27.262976,0.00015424522105604411(0.0)
48,1 square 0,"(722, 722)",0,1042568,5.21284,27.262976,0.00022080427035689354(0.0)
49,1 square 1,"(722, 722)",0,1042568,5.21284,27.262976,0.0001565407682210207(0.0)
50,1 square 0,"(736, 736)",0,1083392,5.41696,23.068672,0.00022503587882965803(0.0)
51,1 square 1,"(736, 736)",0,1083392,5.41696,23.068672,0.00015913660172373056(0.0)
52,1 square 0,"(749, 749)",0,1122002,5.61001,23.068672,0.00022888196865096687(0.0)
53,1 square 1,"(749, 749)",0,1122002,5.61001,23.068672,0.00016614407068118452(0.0)
54,1 square 0,"(762, 762)",0,1161288,5.80644,23.068672,0.0002289236499927938(0.0)
55,1 square 1,"(762, 762)",0,1161288,5.80644,23.068672,0.00016591754043474794(0.0)
56,1 square 0,"(775, 775)",0,1201250,6.00625,23.068672,0.00023275562096387149(0.0)
57,1 square 1,"(775, 775)",0,1201250,6.00625,23.068672,0.0001689908606931567(0.0)
58,1 square 0,"(788, 788)",0,1241888,6.20944,23.068672,0.00023801748873665928(0.0)
59,1 square 1,"(788, 788)",0,1241888,6.20944,23.068672,0.00017268917988985777(0.0)
60,1 square 0,"(800, 800)",0,1280000,6.4,23.068672,0.000243647750467062(0.0)
61,1 square 1,"(800, 800)",0,1280000,6.4,23.068672,0.00017623579129576682(0.0)
62,1 square 0,"(812, 812)",0,1318688,6.59344,23.068672,0.00024371878942474722(0.0)
63,1 square 1,"(812, 812)",0,1318688,6.59344,23.068672,0.0001748197106644511(0.0)
64,1 square 0,"(824, 824)",0,1357952,6.78976,23.068672,0.0002475492493249476(0.0)
65,1 square 1,"(824, 824)",0,1357952,6.78976,23.068672,0.0001899931812658906(0.0)
66,1 square 0,"(836, 836)",0,1397792,6.98896,23.068672,0.0002504000486806035(0.0)
67,1 square 1,"(836, 836)",0,1397792,6.98896,23.068672,0.0001796101895160973(0.0)
68,1 square 0,"(848, 848)",0,1438208,7.19104,23.068672,0.00025174570037052036(0.0)
69,1 square 1,"(848, 848)",0,1438208,7.19104,23.068672,0.00018535168142989279(0.0)
70,1 square 0,"(859, 859)",0,1475762,7.37881,23.068672,0.0002580645796842873(0.0)
71,1 square 1,"(859, 859)",0,1475762,7.37881,23.068672,0.0001871819398365915(0.0)
72,1 square 0,"(871, 871)",0,1517282,7.58641,23.068672,0.0002614180301316082(0.0)
73,1 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00018994187004864216(0.0)
74,1 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.00026241031009703874(0.0)
75,1 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00019328681053593755(0.0)
76,1 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00026630900101736187(0.0)
77,1 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.00019612930016592146(0.0)
78,1 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.000270436629652977(0.0)
79,1 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.00019932865863665937(0.0)
80,1 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.0002749082911759615(0.0)
81,1 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.00020337882917374373(0.0)
82,1 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.0002769721089862287(0.0)
83,1 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.0002026355196721852(0.0)
84,1 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.0002803006116300821(0.0)
85,1 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.00020689900033175944(0.0)
86,1 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.00028440820053219793(0.0)
87,1 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.000211338319350034(0.0)
88,1 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.0002828258997760713(0.0)
89,1 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00021114325150847435(0.0)
90,1 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.0002852244419045746(0.0)
91,1 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00022029920015484094(0.0)
92,1 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.00028670714935287835(0.0)
93,1 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.00022612393833696843(0.0)
94,1 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.0002915894007310271(0.0)
95,1 square 1,"(987, 987)",0,1948338,9.74169,23.068672,0.00022586925886571406(0.0)
96,1 square 0,"(997, 997)",0,1988018,9.94009,23.068672,0.00029572073137387636(0.0)
97,1 square 1,"(997, 997)",0,1988018,9.94009,23.068672,0.00022921941010281443(0.0)
98,1 square 0,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00030137484893202784(0.0)
99,1 square 1,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00023080019978806378(0.0)
100,1 square 0,"(1017, 1017)",0,2068578,10.34289,23.068672,0.00030242063105106353(0.0)
101,1 square 1,"(1017, 1017)",0,2068578,10.34289,23.068672,0.0002351877186447382(0.0)
102,1 square 0,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00030536171048879625(0.0)
103,1 square 1,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00023988050874322652(0.0)
104,1 square 0,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00030526621965691446(0.0)
105,1 square 1,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00023979563964530827(0.0)
106,1 square 0,"(1045, 1045)",0,2184050,10.92025,23.068672,0.0003056496800854802(0.0)
107,1 square 1,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00024489382980391383(0.0)
108,1 square 0,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0003153841197490692(0.0)
109,1 square 1,"(1055, 1055)",0,2226050,11.13025,23.068672,0.000247825791593641(0.0)
110,1 square 0,"(1064, 1064)",0,2264192,11.32096,23.068672,0.0003087834105826914(0.0)
111,1 square 1,"(1064, 1064)",0,2264192,11.32096,23.068672,0.00025273558916524055(0.0)
112,1 square 0,"(1073, 1073)",0,2302658,11.51329,23.068672,0.00031342911999672653(0.0)
113,1 square 1,"(1073, 1073)",0,2302658,11.51329,23.068672,0.00025645924033597113(0.0)
114,1 square 0,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00031506432918831706(0.0)
115,1 square 1,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00025854540057480336(0.0)
116,1 square 0,"(1091, 1091)",0,2380562,11.90281,23.068672,0.0003199436701834202(0.0)
117,1 square 1,"(1091, 1091)",0,2380562,11.90281,23.068672,0.0002619277103804052(0.0)
118,1 square 0,"(1100, 1100)",0,2420000,12.1,23.068672,0.0003247109986841679(0.0)
119,1 square 1,"(1100, 1100)",0,2420000,12.1,23.068672,0.00026479325024411084(0.0)
120,1 square 0,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0003274109191261232(0.0)
121,1 square 1,"(1109, 1109)",0,2459762,12.29881,23.068672,0.00026677240151911974(0.0)
122,1 square 0,"(1118, 1118)",0,2499848,12.49924,44.040192,0.00033170725917443635(0.0)
123,1 square 1,"(1118, 1118)",0,2499848,12.49924,44.040192,0.00027040282962843777(0.0)
