,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(1224, 1224)",0,2996352,14.98176,35.651584,0.0002658770000562072(0.0)
1,1 square 1,"(1224, 1224)",0,2996352,14.98176,35.651584,0.00024376273999223485(0.0)
2,1 square 0,"(1392, 1392)",0,3875328,19.37664,65.011712,0.00034846015987568537(0.0)
3,1 square 1,"(1392, 1392)",0,3875328,19.37664,65.011712,0.0002998756199667696(0.0)
4,1 square 0,"(1542, 1542)",0,4755528,23.77764,65.011712,0.0003503456199541688(0.0)
5,1 square 1,"(1542, 1542)",0,4755528,23.77764,65.011712,0.0003040887699171435(0.0)
6,1 square 0,"(1678, 1678)",0,5631368,28.15684,69.206016,0.0004154595900035929(0.0)
7,1 square 1,"(1678, 1678)",0,5631368,28.15684,69.206016,0.00035937136999564245(0.0)
8,1 square 0,"(1804, 1804)",0,6508832,32.54416,77.594624,0.0004915025000809691(0.0)
9,1 square 1,"(1804, 1804)",0,6508832,32.54416,77.594624,0.00041370887993252836(0.0)
10,1 square 0,"(1922, 1922)",0,7388168,36.94084,85.983232,0.0005713471800845582(0.0)
11,1 square 1,"(1922, 1922)",0,7388168,36.94084,85.983232,0.0004757369100116193(0.0)
12,1 square 0,"(2033, 2033)",0,8266178,41.33089,90.177536,0.0006521370500558988(0.0)
13,1 square 1,"(2033, 2033)",0,8266178,41.33089,90.177536,0.0005175995800527744(0.0)
14,1 square 0,"(2139, 2139)",0,9150642,45.75321,119.537664,0.000739790380030172(0.0)
15,1 square 1,"(2139, 2139)",0,9150642,45.75321,119.537664,0.0005711764599254821(0.0)
16,1 square 0,"(2239, 2239)",0,10026242,50.13121,127.926272,0.0008216208199155517(0.0)
17,1 square 1,"(2239, 2239)",0,10026242,50.13121,127.926272,0.0006232194398762658(0.0)
18,1 square 0,"(2335, 2335)",0,10904450,54.52225,136.31488,0.0009097722900332883(0.0)
19,1 square 1,"(2335, 2335)",0,10904450,54.52225,136.31488,0.0006801913199888077(0.0)
20,1 square 0,"(2427, 2427)",0,11780658,58.90329,144.703488,0.0009982452700205613(0.0)
21,1 square 1,"(2427, 2427)",0,11780658,58.90329,144.703488,0.000733168279984966(0.0)
22,1 square 0,"(2516, 2516)",0,12660512,63.30256,157.2864,0.0010899919400981161(0.0)
23,1 square 1,"(2516, 2516)",0,12660512,63.30256,157.2864,0.0007872339800815098(0.0)
24,1 square 0,"(2602, 2602)",0,13540808,67.70404,161.480704,0.0011832382300053723(0.0)
25,1 square 1,"(2602, 2602)",0,13540808,67.70404,161.480704,0.0008417720699799247(0.0)
26,1 square 0,"(2685, 2685)",0,14418450,72.09225,169.869312,0.0012761901599878912(0.0)
27,1 square 1,"(2685, 2685)",0,14418450,72.09225,169.869312,0.0008970360401144717(0.0)
28,1 square 0,"(2766, 2766)",0,15301512,76.50756,182.452224,0.0013754585300921462(0.0)
29,1 square 1,"(2766, 2766)",0,15301512,76.50756,182.452224,0.0009598203100904357(0.0)
30,1 square 0,"(2844, 2844)",0,16176672,80.88336,186.646528,0.0014769309600524139(0.0)
31,1 square 1,"(2844, 2844)",0,16176672,80.88336,186.646528,0.0010217616699810606(0.0)
32,1 square 0,"(2920, 2920)",0,17052800,85.264,199.22944,0.0015694554899528157(0.0)
33,1 square 1,"(2920, 2920)",0,17052800,85.264,199.22944,0.0010688543200376443(0.0)
34,1 square 0,"(2994, 2994)",0,17928072,89.64036,207.618048,0.0016699745200457984(0.0)
35,1 square 1,"(2994, 2994)",0,17928072,89.64036,207.618048,0.0011286171700339764(0.0)
36,1 square 0,"(3067, 3067)",0,18812978,94.06489,211.812352,0.001773688579996815(0.0)
37,1 square 1,"(3067, 3067)",0,18812978,94.06489,211.812352,0.0011868956300895661(0.0)
38,1 square 0,"(3138, 3138)",0,19694088,98.47044,224.395264,0.0018811600399203598(0.0)
