,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
0,1 square 0,"(223, 223)",0,99458,0.49729,2.097152,9.227575967088342e-05(0.0)
1,1 square 1,"(223, 223)",0,99458,0.49729,2.097152,9.136984124779701e-05(0.0)
2,1 square 0,"(264, 264)",0,139392,0.69696,2.097152,9.04540903866291e-05(0.0)
3,1 square 1,"(264, 264)",0,139392,0.69696,2.097152,9.05332388356328e-05(0.0)
4,1 square 0,"(298, 298)",0,177608,0.88804,2.097152,9.795865975320339e-05(0.0)
5,1 square 1,"(298, 298)",0,177608,0.88804,2.097152,9.929229971021414e-05(0.0)
6,1 square 0,"(330, 330)",0,217800,1.089,4.194304,0.00010103760985657572(0.0)
7,1 square 1,"(330, 330)",0,217800,1.089,4.194304,0.0001003377791494131(0.0)
8,1 square 0,"(358, 358)",0,256328,1.28164,4.194304,0.00010764256119728089(0.0)
9,1 square 1,"(358, 358)",0,256328,1.28164,4.194304,9.964135009795428e-05(0.0)
10,1 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00010241012088954449(0.0)
11,1 square 1,"(385, 385)",0,296450,1.48225,23.068672,8.772059110924602e-05(0.0)
12,1 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00010995625983923673(0.0)
13,1 square 1,"(410, 410)",0,336200,1.681,23.068672,9.318307973444462e-05(0.0)
14,1 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.00010996637167409062(0.0)
15,1 square 1,"(433, 433)",0,374978,1.87489,23.068672,9.408539859578014e-05(0.0)
16,1 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.0001131251803599298(0.0)
17,1 square 1,"(455, 455)",0,414050,2.07025,23.068672,9.382209042087197e-05(0.0)
18,1 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.00011380827985703946(0.0)
19,1 square 1,"(476, 476)",0,453152,2.26576,23.068672,9.471159195527434e-05(0.0)
20,1 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.00011733428109437228(0.0)
21,1 square 1,"(496, 496)",0,492032,2.46016,23.068672,9.599742945283652e-05(0.0)
22,1 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.00011916917050257325(0.0)
23,1 square 1,"(516, 516)",0,532512,2.66256,23.068672,9.936684044077993e-05(0.0)
24,1 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.0001251312904059887(0.0)
25,1 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.00010149999056011439(0.0)
26,1 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.00012605114839971067(0.0)
27,1 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.00010330631863325834(0.0)
28,1 square 0,"(570, 570)",0,649800,3.249,23.068672,0.00012701136991381646(0.0)
29,1 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00010665819048881531(0.0)
30,1 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.00012977291131392122(0.0)
31,1 square 1,"(587, 587)",0,689138,3.44569,23.068672,0.00010940571082755924(0.0)
32,1 square 0,"(604, 604)",0,729632,3.64816,23.068672,0.00013191598933190107(0.0)
33,1 square 1,"(604, 604)",0,729632,3.64816,23.068672,0.00011066160164773465(0.0)
34,1 square 0,"(620, 620)",0,768800,3.844,23.068672,0.00013462913921102881(0.0)
35,1 square 1,"(620, 620)",0,768800,3.844,23.068672,0.00011098942020907998(0.0)
36,1 square 0,"(636, 636)",0,808992,4.04496,23.068672,0.00013808269985020162(0.0)
37,1 square 1,"(636, 636)",0,808992,4.04496,23.068672,0.00011392540065571666(0.0)
38,1 square 0,"(651, 651)",0,847602,4.23801,25.165824,0.00014206818072125314(0.0)
39,1 square 1,"(651, 651)",0,847602,4.23801,25.165824,0.0001139555498957634(0.0)
40,1 square 0,"(666, 666)",0,887112,4.43556,25.165824,0.00014335932908579707(0.0)
41,1 square 1,"(666, 666)",0,887112,4.43556,25.165824,0.00011928749037906527(0.0)
