,Input dims,Input size,"Sparsities (matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2,"[(1414, 1414), (1414, 1414)]",0.999 ; 0.999,3998792,15.995168,44.040192,0.0003531977697275579 (0.0)
1,2,"[(1576, 1576), (1576, 1576)]",0.999 ; 0.999,4967552,19.870208,44.040192,0.0004860737500712276 (0.0)
2,2,"[(1723, 1723), (1723, 1723)]",0.999 ; 0.999,5937458,23.749832,39.845888,0.0005060699500609189 (0.0)
3,2,"[(1858, 1858), (1858, 1858)]",0.999 ; 0.999,6904328,27.617312,46.137344,0.0005783223197795451 (0.0)
4,2,"[(1984, 1984), (1984, 1984)]",0.999 ; 0.999,7872512,31.490048,52.4288,0.0006915215996559709 (0.0)
5,2,"[(2103, 2103), (2103, 2103)]",0.999 ; 0.999,8845218,35.380872,60.817408,0.0006644184899050743 (0.0)
6,2,"[(2215, 2215), (2215, 2215)]",0.999 ; 0.999,9812450,39.2498,65.011712,0.0004890977696049958 (0.0)
7,2,"[(2322, 2322), (2322, 2322)]",0.999 ; 0.999,10783368,43.133472,71.303168,0.0004999546299222857 (0.0)
8,2,"[(2424, 2424), (2424, 2424)]",0.999 ; 0.999,11751552,47.006208,77.594624,0.0005640241608489305 (0.0)
9,2,"[(2522, 2522), (2522, 2522)]",0.999 ; 0.999,12720968,50.883872,83.88608,0.000437624390469864 (0.0)
10,2,"[(2616, 2616), (2616, 2616)]",0.999 ; 0.999,13686912,54.747648,90.177536,0.0005103489407338201 (0.0)
11,2,"[(2708, 2708), (2708, 2708)]",0.999 ; 0.999,14666528,58.666112,90.177536,0.0005144824308808893 (0.0)
12,2,"[(2796, 2796), (2796, 2796)]",0.999 ; 0.999,15635232,62.540928,96.468992,0.0005490484100300818 (0.0)
13,2,"[(2881, 2881), (2881, 2881)]",0.999 ; 0.999,16600322,66.401288,102.760448,0.0005548309406731278 (0.0)
14,2,"[(2964, 2964), (2964, 2964)]",0.999 ; 0.999,17570592,70.282368,109.051904,0.0005924084002617747 (0.0)
15,2,"[(3045, 3045), (3045, 3045)]",0.999 ; 0.999,18544050,74.1762,115.34336,0.000600688720587641 (0.0)
16,2,"[(3123, 3123), (3123, 3123)]",0.999 ; 0.999,19506258,78.025032,121.634816,0.000617113090120256 (0.0)
17,2,"[(3200, 3200), (3200, 3200)]",0.999 ; 0.999,20480000,81.92,127.926272,0.0007323028193786741 (0.0)
18,2,"[(3275, 3275), (3275, 3275)]",0.999 ; 0.999,21451250,85.805,134.217728,0.0006580866605509073 (0.0)
19,2,"[(3348, 3348), (3348, 3348)]",0.999 ; 0.999,22418208,89.672832,140.509184,0.0007009520998690278 (0.0)
20,2,"[(3420, 3420), (3420, 3420)]",0.999 ; 0.999,23392800,93.5712,146.80064,0.0007260506297461688 (0.0)
21,2,"[(3490, 3490), (3490, 3490)]",0.999 ; 0.999,24360200,97.4408,153.092096,0.000828538719797507 (0.0)
22,2,"[(3559, 3559), (3559, 3559)]",0.999 ; 0.999,25332962,101.331848,159.383552,0.0008575525297783315 (0.0)
23,2,"[(3626, 3626), (3626, 3626)]",0.999 ; 0.999,26295752,105.183008,165.675008,0.0008738988800905645 (0.0)
24,2,"[(3692, 3692), (3692, 3692)]",0.999 ; 0.999,27261728,109.046912,165.675008,0.0009389920404646546 (0.0)
25,2,"[(3757, 3757), (3757, 3757)]",0.999 ; 0.999,28230098,112.920392,171.966464,0.0009177109005395323 (0.0)
26,2,"[(3821, 3821), (3821, 3821)]",0.999 ; 0.999,29200082,116.800328,178.25792,0.0009586694405879825 (0.0)
27,2,"[(3884, 3884), (3884, 3884)]",0.999 ; 0.999,30170912,120.683648,184.549376,0.0010136574506759643 (0.0)
28,2,"[(3946, 3946), (3946, 3946)]",0.999 ; 0.999,31141832,124.567328,190.840832,0.0010196875198744237 (0.0)
29,2,"[(4007, 4007), (4007, 4007)]",0.999 ; 0.999,32112098,128.448392,197.132288,0.0010501746193040161 (0.0)
30,2,"[(4067, 4067), (4067, 4067)]",0.999 ; 0.999,33080978,132.323912,203.423744,0.0011099705006927252 (0.0)
31,2,"[(4126, 4126), (4126, 4126)]",0.999 ; 0.999,34047752,136.191008,209.7152,0.0011989162501413375 (0.0)
32,2,"[(4185, 4185), (4185, 4185)]",0.999 ; 0.999,35028450,140.1138,216.006656,0.0011823009105864913 (0.0)
33,2,"[(4242, 4242), (4242, 4242)]",0.999 ; 0.999,35989128,143.956512,222.298112,0.0012430309504270554 (0.0)
34,2,"[(4299, 4299), (4299, 4299)]",0.999 ; 0.999,36962802,147.851208,228.589568,0.001214876649901271 (0.0)
35,2,"[(4355, 4355), (4355, 4355)]",0.999 ; 0.999,37932050,151.7282,234.881024,0.001226071370765567 (0.0)
36,2,"[(4410, 4410), (4410, 4410)]",0.999 ; 0.999,38896200,155.5848,241.17248,0.0012738655204884708 (0.0)
37,2,"[(4465, 4465), (4465, 4465)]",0.999 ; 0.999,39872450,159.4898,247.463936,0.0013658382801804692 (0.0)
38,2,"[(4519, 4519), (4519, 4519)]",0.999 ; 0.999,40842722,163.370888,247.463936,0.001462304120650515 (0.0)
