,Input dims,Input size,"Sparsities (matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2,"[(1414, 1414), (1414, 1414)]",0.995 ; 0.995,3998792,15.995168,23.068672,0.00045567277004010976 (0.0)
1,2,"[(1576, 1576), (1576, 1576)]",0.995 ; 0.995,4967552,19.870208,23.068672,0.0005129813798703253 (0.0)
2,2,"[(1723, 1723), (1723, 1723)]",0.995 ; 0.995,5937458,23.749832,23.068672,0.0004951514501590282 (0.0)
3,2,"[(1858, 1858), (1858, 1858)]",0.995 ; 0.995,6904328,27.617312,25.165824,0.0005176462908275426 (0.0)
4,2,"[(1984, 1984), (1984, 1984)]",0.995 ; 0.995,7872512,31.490048,25.165824,0.0005385653499979526 (0.0)
5,2,"[(2103, 2103), (2103, 2103)]",0.995 ; 0.995,8845218,35.380872,25.165824,0.0006525249499827623 (0.0)
6,2,"[(2215, 2215), (2215, 2215)]",0.995 ; 0.995,9812450,39.2498,25.165824,0.0006983123300597072 (0.0)
7,2,"[(2322, 2322), (2322, 2322)]",0.995 ; 0.995,10783368,43.133472,23.068672,0.0006480801606085152 (0.0)
8,2,"[(2424, 2424), (2424, 2424)]",0.995 ; 0.995,11751552,47.006208,23.068672,0.000636299829930067 (0.0)
9,2,"[(2522, 2522), (2522, 2522)]",0.995 ; 0.995,12720968,50.883872,23.068672,0.0006120861694216728 (0.0)
10,2,"[(2616, 2616), (2616, 2616)]",0.995 ; 0.995,13686912,54.747648,35.651584,0.0007238057407084852 (0.0)
11,2,"[(2708, 2708), (2708, 2708)]",0.995 ; 0.995,14666528,58.666112,37.748736,0.0007323466497473419 (0.0)
12,2,"[(2796, 2796), (2796, 2796)]",0.995 ; 0.995,15635232,62.540928,39.845888,0.0006275968300178647 (0.0)
13,2,"[(2881, 2881), (2881, 2881)]",0.995 ; 0.995,16600322,66.401288,39.845888,0.0008375049394089729 (0.0)
14,2,"[(2964, 2964), (2964, 2964)]",0.995 ; 0.995,17570592,70.282368,41.94304,0.0006752571405377239 (0.0)
15,2,"[(3045, 3045), (3045, 3045)]",0.995 ; 0.995,18544050,74.1762,44.040192,0.0008336000703275204 (0.0)
