,Input Shape,Input size,Sparsities (matA),Total elements,Input memory,Total memory,GPU clock time (IQR)
0,Square,"(2000, 2000)",0.9950140118598938,4000000,8.0,20.97152,6.060417974367738e-05(0.0)
1,Square,"(2229, 2229)",0.9950012564659119,4968441,9.936882,20.97152,7.414628984406591e-05(0.0)
2,Square,"(2437, 2437)",0.9950271844863892,5938969,11.877938,33.554432,8.598227985203267e-05(0.0)
3,Square,"(2628, 2628)",0.9950522780418396,6906384,13.812768,35.651584,0.00010862483992241323(0.0)
4,Square,"(2806, 2806)",0.9950137734413147,7873636,15.747272,33.554432,0.0001215603097807616(0.0)
5,Square,"(2974, 2974)",0.9950248599052429,8844676,17.689352,37.748736,0.000132530479459092(0.0)
6,Square,"(3133, 3133)",0.9950689077377319,9815689,19.631378,41.94304,0.0001449092896655202(0.0)
7,Square,"(3284, 3284)",0.9950680732727051,10784656,21.569312,46.137344,0.00015930221998132764(0.0)
8,Square,"(3428, 3428)",0.995065450668335,11751184,23.502368,50.331648,0.00017195896012708544(0.0)
9,Square,"(3567, 3567)",0.9950553178787231,12723489,25.446978,54.525952,0.00019355152966454625(0.0)
10,Square,"(3700, 3700)",0.9950301647186279,13690000,27.38,58.720256,0.00020180918974801898(0.0)
11,Square,"(3829, 3829)",0.9950032830238342,14661241,29.322482,58.720256,0.00021302763023413717(0.0)
12,Square,"(3954, 3954)",0.9949954748153687,15634116,31.268232,62.91456,0.00022628209902904927(0.0)
13,Square,"(4075, 4075)",0.9949994683265686,16605625,33.21125,67.108864,0.0002376837807241827(0.0)
14,Square,"(4192, 4192)",0.9950077533721924,17572864,35.145728,71.303168,0.0002611530909780413(0.0)
15,Square,"(4306, 4306)",0.9949986934661865,18541636,37.083272,75.497472,0.00026524390093982217(0.0)
16,Square,"(4417, 4417)",0.9949983954429626,19509889,39.019778,79.691776,0.0002785521699115634(0.0)
17,Square,"(4526, 4526)",0.994998037815094,20484676,40.969352,83.88608,0.0003284712100867182(0.0)
18,Square,"(4631, 4631)",0.9949982762336731,21446161,42.892322,88.080384,0.0003102772403508425(0.0)
19,Square,"(4735, 4735)",0.9949843287467957,22420225,44.84045,92.274688,0.00032652955036610365(0.0)
