,"Input dims, index dim",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1; 0,"(2400576000,)",0.0,0.20892874337732792
1,2; 0,"(48000, 48000)",0.0,0.20037014223635197
2,2; 1,"(48000, 48000)",0.0,0.03608362749218941
3,3; 0,"(1200, 1200, 1200)",0.0,0.14823230914771557
4,3; 1,"(1200, 1200, 1200)",0.0,0.028768568858504297
5,3; 2,"(1200, 1200, 1200)",0.0,0.020831316709518433
6,1; 0,"(2400576000,)",0.5,0.2089045662432909
7,2; 0,"(48000, 48000)",0.5,0.20038582012057304
8,2; 1,"(48000, 48000)",0.5,0.036117322742938995
9,3; 0,"(1200, 1200, 1200)",0.5,0.1482172030955553
10,3; 1,"(1200, 1200, 1200)",0.5,0.02877765316516161
11,3; 2,"(1200, 1200, 1200)",0.5,0.020836167596280576
12,1; 0,"(2400576000,)",0.9,0.20891345851123333
13,2; 0,"(48000, 48000)",0.9,0.2003780659288168
14,2; 1,"(48000, 48000)",0.9,0.0358459684997797
15,3; 0,"(1200, 1200, 1200)",0.9,0.14822417870163918
16,3; 1,"(1200, 1200, 1200)",0.9,0.02878043819218874
17,3; 2,"(1200, 1200, 1200)",0.9,0.02082852516323328
18,1; 0,"(2400576000,)",0.99,0.2089053150266409
19,2; 0,"(48000, 48000)",0.99,0.20034956000745296
20,2; 1,"(48000, 48000)",0.99,0.03583480436354876
21,3; 0,"(1200, 1200, 1200)",0.99,0.14822200313210487
22,3; 1,"(1200, 1200, 1200)",0.99,0.028783327713608742
23,3; 2,"(1200, 1200, 1200)",0.99,0.02099016010761261
