,"Reduce factor, shape",Input size (>95% mem util)*,Sparsity,GPU clock time
0,1 LS,"(2400576000,)",0.0,0.52
1,1 square,"(48000, 48000)",0.0,0.176
2,1 LS,"(2400576000,)",0.5,0.52
3,1 square,"(48000, 48000)",0.5,0.177
4,1 LS,"(2400576000,)",0.9,0.52
5,1 square,"(48000, 48000)",0.9,0.177
6,1 LS,"(2400576000,)",0.99,0.52
7,1 square,"(48000, 48000)",0.99,0.177
8,2 LS,"(2400576000,)",0.0,0.52
9,2 square,"(48000, 48000)",0.0,0.225
10,2 LS,"(2400576000,)",0.5,0.519
11,2 square,"(48000, 48000)",0.5,0.225
12,2 LS,"(2400576000,)",0.9,0.519
13,2 square,"(48000, 48000)",0.9,0.225
14,2 LS,"(2400576000,)",0.99,0.519
15,2 square,"(48000, 48000)",0.99,0.224
16,4 LS,"(2400576000,)",0.0,0.516
17,4 square,"(48000, 48000)",0.0,0.304
18,4 LS,"(2400576000,)",0.5,0.516
19,4 square,"(48000, 48000)",0.5,0.304
20,4 LS,"(2400576000,)",0.9,0.516
21,4 square,"(48000, 48000)",0.9,0.304
22,4 LS,"(2400576000,)",0.99,0.516
23,4 square,"(48000, 48000)",0.99,0.304
24,8 LS,"(2400576000,)",0.0,0.51
25,8 square,"(48000, 48000)",0.0,0.41
26,8 LS,"(2400576000,)",0.5,0.51
27,8 square,"(48000, 48000)",0.5,0.409
28,8 LS,"(2400576000,)",0.9,0.51
29,8 square,"(48000, 48000)",0.9,0.41
30,8 LS,"(2400576000,)",0.99,0.51
31,8 square,"(48000, 48000)",0.99,0.409
